"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005EA","B25101_005M","B25101_005MA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008M","B25101_008MA","B25101_008EA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010EA","B25101_010M","B25101_010MA","B25101_011E","B25101_011EA","B25101_011M","B25101_011MA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022EA","B25101_022M","B25101_022MA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033EA","B25101_033M","B25101_033MA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"0500000US22019","Calcasieu Parish, Louisiana","48889","2805","null","null","24767","2449","null","null","1841","null","816","null","0","null","201","null","54","null","90","null","1787","822","null","null","1963","661","null","null","109","138","null","null","765","null","489","null","1089","null","396","null","3790","null","1024","null","640","338","null","null","1328","614","null","null","1822","null","820","null","5667","null","1290","null","2817","null","933","null","2114","969","null","null","736","465","null","null","11441","1550","null","null","9665","null","1435","null","1776","null","694","null","0","null","201","null","65","112","null","null","24122","2075","null","null","4308","null","952","null","1712","null","643","null","607","null","303","null","1989","812","null","null","5484","1159","null","null","4953","null","1130","null","399","null","342","null","132","null","150","null","3086","null","930","null","2973","903","null","null","113","140","null","null","0","null","201","null","4027","null","776","null","4027","null","776","null","0","201","null","null","0","201","null","null","7070","1467","null","null","7070","null","1467","null","0","null","201","null","0","null","201","null","147","145","null","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","96737","3309","null","null","61914","3160","null","null","4147","null","1033","null","0","null","201","null","0","null","201","null","4147","1033","null","null","7720","1509","null","null","60","101","null","null","803","null","495","null","6857","null","1471","null","6191","null","1353","null","615","387","null","null","2351","684","null","null","3225","null","1087","null","10214","null","1386","null","3233","null","994","null","4266","1063","null","null","2715","677","null","null","33231","2806","null","null","25137","null","2406","null","5734","null","1128","null","2360","null","938","null","411","317","null","null","34823","2123","null","null","5978","null","1114","null","1384","null","567","null","1684","null","716","null","2910","678","null","null","6459","1050","null","null","4561","null","916","null","1387","null","600","null","511","null","316","null","4423","null","928","null","4282","910","null","null","141","137","null","null","0","null","201","null","5732","null","980","null","5594","null","968","null","65","109","null","null","73","119","null","null","11508","1446","null","null","11508","null","1446","null","0","null","201","null","0","null","201","null","723","445","null","null",
"0500000US22045","Iberia Parish, Louisiana","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US22051","Jefferson Parish, Louisiana","104190","3001","null","null","60296","2792","null","null","4152","null","975","null","0","null","201","null","156","null","132","null","3996","990","null","null","7583","1505","null","null","155","164","null","null","974","null","585","null","6454","null","1389","null","8038","null","1365","null","928","533","null","null","2642","830","null","null","4468","null","1166","null","11116","null","1688","null","2507","null","608","null","4552","1069","null","null","4057","1068","null","null","28748","2257","null","null","20728","null","1678","null","6900","null","1439","null","1120","null","437","null","659","490","null","null","43894","2243","null","null","7733","null","1142","null","1654","null","515","null","1900","null","577","null","4179","904","null","null","8342","1204","null","null","6112","null","1072","null","1852","null","578","null","378","null","246","null","6529","null","1051","null","5892","1011","null","null","469","258","null","null","168","null","153","null","6828","null","938","null","6729","null","940","null","99","123","null","null","0","201","null","null","13994","1216","null","null","13967","null","1225","null","27","null","46","null","0","null","201","null","468","237","null","null",
"0500000US22055","Lafayette Parish, Louisiana","55562","2152","null","null","33070","2722","null","null","1631","null","830","null","0","null","201","null","110","null","168","null","1521","816","null","null","2917","1068","null","null","0","201","null","null","321","null","203","null","2596","null","1022","null","3685","null","1094","null","287","255","null","null","1973","805","null","null","1425","null","661","null","5747","null","1248","null","2346","null","829","null","1921","600","null","null","1480","791","null","null","19043","2260","null","null","16428","null","2149","null","1933","null","760","null","682","null","454","null","47","78","null","null","22492","1770","null","null","4738","null","1057","null","954","null","502","null","983","null","420","null","2801","909","null","null","3817","933","null","null","3015","null","830","null","651","null","357","null","151","null","186","null","3182","null","847","null","3182","847","null","null","0","201","null","null","0","null","201","null","4588","null","929","null","4588","null","929","null","0","201","null","null","0","201","null","null","6043","1134","null","null","6043","null","1134","null","0","null","201","null","0","null","201","null","124","157","null","null",
"0500000US22057","Lafourche Parish, Louisiana","25115","1436","null","null","11706","1346","null","null","834","null","485","null","0","null","201","null","0","null","201","null","834","485","null","null","2037","892","null","null","0","201","null","null","187","null","232","null","1850","null","886","null","1010","null","477","null","183","142","null","null","594","434","null","null","233","null","208","null","2222","null","638","null","1190","null","457","null","790","379","null","null","242","181","null","null","5424","845","null","null","3978","null","742","null","1089","null","424","null","357","null","284","null","179","243","null","null","13409","1273","null","null","2876","null","665","null","1487","null","453","null","463","null","248","null","926","440","null","null","2904","846","null","null","2562","null","809","null","302","null","201","null","40","null","67","null","1976","null","580","null","1976","580","null","null","0","201","null","null","0","null","201","null","2106","null","594","null","2106","null","594","null","0","201","null","null","0","201","null","null","3402","651","null","null","3402","null","651","null","0","null","201","null","0","null","201","null","145","148","null","null",
"0500000US22063","Livingston Parish, Louisiana","38301","1581","null","null","22891","2077","null","null","812","null","448","null","0","null","201","null","0","null","201","null","812","448","null","null","1267","641","null","null","21","34","null","null","0","null","201","null","1246","null","636","null","2199","null","928","null","160","164","null","null","1220","849","null","null","819","null","418","null","5522","null","1378","null","2123","null","901","null","2417","1034","null","null","982","624","null","null","13017","1830","null","null","10559","null","1702","null","2442","null","931","null","16","null","27","null","74","124","null","null","15410","1894","null","null","3334","null","1072","null","1194","null","606","null","1207","null","537","null","933","658","null","null","3633","1203","null","null","3488","null","1180","null","82","null","103","null","63","null","108","null","2298","null","942","null","2250","942","null","null","0","201","null","null","48","null","81","null","2789","null","991","null","2789","null","991","null","0","201","null","null","0","201","null","null","3302","974","null","null","3302","null","974","null","0","null","201","null","0","null","201","null","54","88","null","null",
"0500000US22071","Orleans Parish, Louisiana","70108","2547","null","null","37232","2007","null","null","3616","null","715","null","0","null","201","null","0","null","201","null","3616","715","null","null","4383","791","null","null","22","37","null","null","457","null","293","null","3904","null","758","null","4399","null","889","null","486","263","null","null","1099","452","null","null","2814","null","669","null","5643","null","880","null","1274","null","441","null","1746","457","null","null","2623","578","null","null","19090","1341","null","null","10833","null","1211","null","5880","null","855","null","2377","null","555","null","101","120","null","null","32876","1777","null","null","7784","null","1058","null","963","null","348","null","1213","null","424","null","5608","951","null","null","6414","875","null","null","3378","null","641","null","1587","null","447","null","1449","null","490","null","4232","null","695","null","3341","586","null","null","626","268","null","null","265","null","181","null","4794","null","798","null","4339","null","743","null","405","333","null","null","50","60","null","null","9078","905","null","null","8534","null","901","null","408","null","248","null","136","null","172","null","574","278","null","null",
"0500000US22073","Ouachita Parish, Louisiana","34912","1799","null","null","18714","1708","null","null","1521","null","566","null","0","null","201","null","0","null","201","null","1521","566","null","null","1756","618","null","null","64","75","null","null","254","null","203","null","1438","null","595","null","2542","null","777","null","488","313","null","null","695","398","null","null","1359","null","693","null","4140","null","1044","null","2342","null","869","null","1140","424","null","null","658","465","null","null","8521","1276","null","null","7124","null","1265","null","1257","null","647","null","140","null","143","null","234","335","null","null","16198","1625","null","null","3427","null","744","null","1511","null","601","null","871","null","314","null","1045","416","null","null","2155","609","null","null","1533","null","504","null","497","null","414","null","125","null","127","null","2822","null","866","null","2618","824","null","null","204","306","null","null","0","null","201","null","3004","null","663","null","3004","null","663","null","0","201","null","null","0","201","null","null","4378","878","null","null","4378","null","878","null","0","null","201","null","0","null","201","null","412","323","null","null",
"0500000US22079","Rapides Parish, Louisiana","29231","1704","null","null","15620","1572","null","null","1294","null","504","null","0","null","201","null","0","null","201","null","1294","504","null","null","1670","565","null","null","44","78","null","null","363","null","239","null","1263","null","486","null","2086","null","658","null","692","309","null","null","666","439","null","null","728","null","363","null","2808","null","906","null","1264","null","559","null","1335","581","null","null","209","182","null","null","7681","1088","null","null","5820","null","1082","null","1577","null","613","null","284","null","271","null","81","98","null","null","13611","1305","null","null","3942","null","865","null","1163","null","513","null","1342","null","580","null","1437","602","null","null","2745","818","null","null","2008","null","714","null","405","null","295","null","332","null","274","null","1998","null","608","null","1998","608","null","null","0","201","null","null","0","null","201","null","2038","null","584","null","2038","null","584","null","0","201","null","null","0","201","null","null","2741","737","null","null","2741","null","737","null","0","null","201","null","0","null","201","null","147","173","null","null",
