"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","73,991,995","47,174,889","2,610,619","8,922","40,330","2,561,367","4,166,182","128,718","573,597","3,463,867","5,180,397","602,626","1,640,115","2,937,656","9,186,820","2,641,967","3,573,041","2,971,812","25,787,469","16,375,230","6,879,896","2,532,343","243,402","26,817,106","4,591,445","887,622","962,828","2,740,995","4,977,278","2,860,188","1,271,563","845,527","4,042,183","3,318,691","537,419","186,073","4,768,675","4,431,421","264,318","72,936","8,072,646","7,939,504","111,201","21,941","364,879"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,246,080","714,687","59,414","201","1,443","57,770","87,038","4,121","17,054","65,863","99,781","17,405","42,067","40,309","149,692","62,092","61,922","25,678","313,613","249,085","54,097","10,431","5,149","531,393","123,755","30,818","31,692","61,245","109,444","83,380","19,886","6,178","82,995","78,664","3,836","495","89,771","88,401","1,152","218","116,581","116,408","173","0","8,847"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","156,006","103,179","2,775","9","36","2,730","4,336","155","324","3,857","7,555","573","1,107","5,875","18,628","3,011","7,270","8,347","69,671","40,674","22,042","6,955","214","52,827","7,306","1,554","850","4,902","7,728","4,093","1,923","1,712","5,802","4,681","1,032","89","9,666","9,136","495","35","22,073","22,062","11","0","252"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,484,857","956,507","62,907","171","1,055","61,681","102,650","3,593","14,592","84,465","121,628","15,171","41,687","64,770","198,370","65,719","88,650","44,001","463,701","338,014","102,565","23,122","7,251","528,350","100,790","28,747","21,266","50,777","104,865","73,085","22,578","9,202","83,611","76,865","5,509","1,237","90,950","89,319","1,258","373","136,391","136,074","224","93","11,743"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","744,318","413,767","32,724","71","558","32,095","53,755","1,812","14,862","37,081","64,976","17,827","28,939","18,210","89,263","49,339","30,679","9,245","170,944","142,563","23,965","4,416","2,105","330,551","78,957","23,166","21,119","34,672","70,345","55,436","11,355","3,554","54,279","51,904","2,124","251","56,307","55,761","436","110","66,635","66,565","70","0","4,028"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,855,688","4,929,106","234,960","1,119","1,812","232,029","357,031","6,134","19,796","331,101","417,401","22,469","59,246","335,686","788,356","95,141","221,473","471,742","3,103,349","1,425,167","1,060,725","617,457","28,009","1,926,582","293,794","53,973","49,592","190,229","311,237","165,891","75,912","69,434","263,505","201,406","44,311","17,788","325,060","295,283","22,915","6,862","709,278","695,513","10,367","3,398","23,708"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
