"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US18067","Howard County, Indiana","10044","null","2067","null","28287","2842","null","null","47285","4030","null","null","71954","null","4545","null","136482","10093","null","null","212015","null","27283","null",
"0500000US18081","Johnson County, Indiana","16993","null","2003","null","37983","3121","null","null","55232","3373","null","null","83311","null","5489","null","157726","9671","null","null","237232","null","26169","null",
"0500000US18085","Kosciusko County, Indiana","14257","null","2666","null","37285","3567","null","null","53772","2674","null","null","75574","null","4796","null","160409","20320","null","null","284961","null","56848","null",
"0500000US18089","Lake County, Indiana","11286","null","828","null","30615","1401","null","null","51039","1663","null","null","77409","null","2378","null","154767","9402","null","null","260393","null","32776","null",
"0500000US18091","LaPorte County, Indiana","13413","null","1586","null","31152","2599","null","null","46436","2945","null","null","69113","null","3584","null","145145","14314","null","null","258426","null","47912","null",
"0500000US18095","Madison County, Indiana","10567","null","1312","null","28257","1929","null","null","45852","2464","null","null","67495","null","3106","null","129494","9784","null","null","210841","null","33748","null",
"0500000US18097","Marion County, Indiana","9321","null","584","null","25256","865","null","null","42749","990","null","null","66484","null","1750","null","149533","5464","null","null","262036","null","16973","null",
"0500000US18105","Monroe County, Indiana","6089","null","1292","null","24572","2287","null","null","43665","2427","null","null","70639","null","4566","null","168655","18422","null","null","307488","null","56084","null",
"0500000US18109","Morgan County, Indiana","15243","null","2614","null","36294","3382","null","null","53873","4665","null","null","81531","null","5584","null","129102","8488","null","null","176854","null","17009","null",
"0500000US18127","Porter County, Indiana","13998","null","2462","null","38244","2967","null","null","60847","3565","null","null","91586","null","4287","null","172344","13266","null","null","289441","null","46747","null",
"0500000US18141","St. Joseph County, Indiana","10550","null","986","null","27526","1539","null","null","46154","1943","null","null","71521","null","2816","null","160829","13252","null","null","302899","null","44014","null",
"0500000US18157","Tippecanoe County, Indiana","9493","null","1387","null","26015","2181","null","null","45752","2468","null","null","69694","null","3889","null","151768","15887","null","null","263633","null","56284","null",
"0500000US18163","Vanderburgh County, Indiana","9681","null","1461","null","26196","1700","null","null","42829","2388","null","null","67892","null","2949","null","147606","12242","null","null","261375","null","37193","null",
"0500000US18167","Vigo County, Indiana","9752","null","1459","null","24568","2240","null","null","41142","3029","null","null","65520","null","4989","null","144607","22230","null","null","259825","null","76086","null",
"0500000US18177","Wayne County, Indiana","9760","null","1688","null","23428","2484","null","null","41111","3683","null","null","65102","null","4501","null","142907","21779","null","null","265208","null","70580","null",
"0500000US19013","Black Hawk County, Iowa","12065","null","1512","null","31070","2085","null","null","51427","3329","null","null","76342","null","3534","null","141770","9354","null","null","211740","null","25586","null",
"0500000US19049","Dallas County, Iowa","19123","null","2970","null","50194","4798","null","null","79135","5739","null","null","124835","null","7555","null","276484","36278","null","null","517922","null","112405","null",
"0500000US19061","Dubuque County, Iowa","14506","null","1988","null","35054","2938","null","null","55633","3264","null","null","80359","null","3568","null","144070","9884","null","null","228512","null","29793","null",
"0500000US19103","Johnson County, Iowa","8719","null","1662","null","32222","2901","null","null","59690","4982","null","null","94996","null","4667","null","246765","39014","null","null","506053","null","125470","null",
"0500000US19113","Linn County, Iowa","15538","null","1439","null","38102","2769","null","null","63637","2972","null","null","92972","null","3610","null","190386","17085","null","null","339503","null","61859","null",
"0500000US19153","Polk County, Iowa","14967","null","1158","null","38668","1833","null","null","61751","1980","null","null","94245","null","2803","null","195151","12014","null","null","339841","null","36805","null",
"0500000US19155","Pottawattamie County, Iowa","14536","null","1251","null","33365","2493","null","null","53171","3542","null","null","78791","null","3868","null","161468","14769","null","null","282041","null","44461","null",
"0500000US19163","Scott County, Iowa","15017","null","1435","null","35002","2070","null","null","54714","2493","null","null","82194","null","3516","null","162943","10545","null","null","258170","null","32933","null",
"0500000US19169","Story County, Iowa","8683","null","2005","null","25991","3033","null","null","48051","4353","null","null","79752","null","4130","null","158264","12755","null","null","248403","null","25431","null",
"0500000US19193","Woodbury County, Iowa","11072","null","1513","null","26784","2517","null","null","44818","3214","null","null","68781","null","3711","null","140395","14388","null","null","248948","null","44687","null",
"0500000US20015","Butler County, Kansas","16504","null","2055","null","37325","3968","null","null","60883","4920","null","null","90290","null","6459","null","173363","19148","null","null","277072","null","54717","null",
