"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010EA","B25101_010M","B25101_010MA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"0500000US35045","San Juan County, New Mexico","32233","1303","null","null","17183","1365","null","null","505","282","null","null","0","null","198","null","0","198","null","null","505","null","282","null","1699","630","null","null","63","null","107","null","136","null","130","null","1500","null","608","null","2381","1066","null","null","400","394","null","null","356","253","null","null","1625","null","893","null","4094","null","1031","null","1411","null","728","null","2040","647","null","null","643","410","null","null","8373","null","1271","null","5613","null","1129","null","2158","null","699","null","602","463","null","null","131","194","null","null","15050","1260","null","null","2443","null","524","null","1092","null","335","null","449","null","240","null","902","null","322","null","3738","748","null","null","3022","null","679","null","665","null","299","null","51","null","69","null","2652","723","null","null","2652","723","null","null","0","198","null","null","0","null","198","null","2584","null","765","null","2584","765","null","null","0","198","null","null","0","198","null","null","3502","null","840","null","3502","null","840","null","0","198","null","null","0","198","null","null","131","92","null","null",
"0500000US35049","Santa Fe County, New Mexico","40028","1859","null","null","26493","1754","null","null","1866","651","null","null","0","null","198","null","0","198","null","null","1866","null","651","null","2836","854","null","null","56","null","78","null","401","null","327","null","2379","null","745","null","3602","818","null","null","384","240","null","null","374","278","null","null","2844","null","720","null","4433","null","1156","null","792","null","422","null","1570","591","null","null","2071","932","null","null","13656","null","1381","null","7345","null","1116","null","4715","null","1087","null","1596","490","null","null","100","161","null","null","13535","1397","null","null","3019","null","784","null","794","null","454","null","780","null","375","null","1445","null","507","null","1863","608","null","null","1449","null","572","null","270","null","208","null","144","null","132","null","2111","694","null","null","1946","655","null","null","165","171","null","null","0","null","198","null","2559","null","809","null","2526","805","null","null","0","198","null","null","33","55","null","null","3931","null","815","null","3931","null","815","null","0","198","null","null","0","198","null","null","52","63","null","null",
"0500000US35061","Valencia County, New Mexico","23244","1333","null","null","14407","1275","null","null","2083","711","null","null","0","null","198","null","0","198","null","null","2083","null","711","null","1525","671","null","null","90","null","159","null","199","null","185","null","1236","null","646","null","2027","724","null","null","215","224","null","null","775","366","null","null","1037","null","533","null","3565","null","1009","null","945","null","436","null","2175","732","null","null","445","284","null","null","5033","null","980","null","3333","null","837","null","1424","null","585","null","276","226","null","null","174","173","null","null","8837","1172","null","null","2919","null","703","null","729","null","337","null","751","null","493","null","1439","null","449","null","1933","595","null","null","1226","null","532","null","276","null","261","null","431","null","374","null","953","431","null","null","953","431","null","null","0","198","null","null","0","null","198","null","1662","null","623","null","1662","623","null","null","0","198","null","null","0","198","null","null","1261","null","391","null","1261","null","391","null","0","198","null","null","0","198","null","null","109","124","null","null",
"0500000US36001","Albany County, New York","73783","2471","null","null","48391","2329","null","null","1566","684","null","null","0","null","192","null","0","192","null","null","1566","null","684","null","2545","895","null","null","0","null","192","null","126","null","144","null","2419","null","854","null","4136","974","null","null","315","225","null","null","734","382","null","null","3087","null","804","null","10499","null","1524","null","1854","null","593","null","3648","792","null","null","4997","1181","null","null","29534","null","1916","null","16897","null","1606","null","9734","null","1492","null","2903","901","null","null","111","139","null","null","25392","1984","null","null","3169","null","746","null","174","null","148","null","499","null","264","null","2496","null","696","null","3322","809","null","null","1568","null","628","null","956","null","377","null","798","null","344","null","3948","863","null","null","2298","531","null","null","1351","599","null","null","299","null","247","null","5399","null","1103","null","4616","1054","null","null","732","455","null","null","51","85","null","null","9329","null","1362","null","9294","null","1367","null","35","60","null","null","0","192","null","null","225","238","null","null",
"0500000US36005","Bronx County, New York","88816","4211","null","null","56906","3699","null","null","4155","904","null","null","0","null","192","null","0","192","null","null","4155","null","904","null","5215","1258","null","null","225","null","323","null","172","null","193","null","4818","null","1138","null","5401","1051","null","null","375","257","null","null","449","284","null","null","4577","null","1025","null","10899","null","1651","null","1731","null","579","null","1667","732","null","null","7501","1416","null","null","31043","null","2919","null","11355","null","1879","null","8572","null","1566","null","11116","1597","null","null","193","150","null","null","31910","2226","null","null","5210","null","998","null","904","null","491","null","379","null","410","null","3927","null","815","null","5535","1059","null","null","1756","null","695","null","889","null","362","null","2890","null","824","null","3250","892","null","null","1255","575","null","null","1213","527","null","null","782","null","393","null","5876","null","1315","null","4716","1189","null","null","1073","476","null","null","87","105","null","null","11458","null","1391","null","11078","null","1374","null","380","285","null","null","0","192","null","null","581","335","null","null",
"0500000US36007","Broome County, New York","52647","1914","null","null","29771","1918","null","null","1393","485","null","null","0","null","192","null","44","73","null","null","1349","null","473","null","3160","693","null","null","67","null","113","null","697","null","370","null","2396","null","617","null","3921","696","null","null","647","298","null","null","1771","515","null","null","1503","null","433","null","7834","null","1084","null","3035","null","692","null","3530","639","null","null","1269","518","null","null","13388","null","1339","null","10433","null","1411","null","2478","null","866","null","477","254","null","null","75","124","null","null","22876","1616","null","null","3679","null","689","null","416","null","238","null","691","null","313","null","2572","null","604","null","5671","1041","null","null","2417","null","667","null","2381","null","739","null","873","null","463","null","3882","744","null","null","2981","638","null","null","690","368","null","null","211","null","210","null","4372","null","809","null","4174","792","null","null","198","179","null","null","0","192","null","null","5174","null","913","null","5174","null","913","null","0","192","null","null","0","192","null","null","98","119","null","null",
"0500000US36009","Cattaraugus County, New York","22086","834","null","null","11749","880","null","null","941","265","null","null","0","null","192","null","46","55","null","null","895","null","259","null","1766","439","null","null","16","null","26","null","307","null","150","null","1443","null","400","null","1547","366","null","null","259","123","null","null","590","224","null","null","698","null","216","null","2911","null","533","null","1453","null","369","null","1135","279","null","null","323","156","null","null","4537","null","649","null","3496","null","530","null","946","null","427","null","95","90","null","null","47","56","null","null","10337","701","null","null","2545","null","459","null","430","null","198","null","600","null","251","null","1515","null","356","null","2314","482","null","null","1494","null","410","null","522","null","238","null","298","null","124","null","1765","409","null","null","1420","334","null","null","323","219","null","null","22","null","36","null","1881","null","392","null","1867","398","null","null","14","25","null","null","0","192","null","null","1816","null","391","null","1799","null","391","null","17","27","null","null","0","192","null","null","16","20","null","null",
"0500000US36011","Cayuga County, New York","22547","1092","null","null","13921","1049","null","null","351","191","null","null","0","null","192","null","0","192","null","null","351","null","191","null","1782","534","null","null","203","null","198","null","255","null","202","null","1324","null","478","null","1821","471","null","null","209","175","null","null","726","263","null","null","886","null","388","null","3505","null","667","null","1256","null","375","null","1144","390","null","null","1105","505","null","null","6415","null","761","null","5157","null","732","null","980","null","269","null","278","159","null","null","47","78","null","null","8626","809","null","null","1118","null","337","null","17","null","28","null","217","null","135","null","884","null","336","null","1969","451","null","null","899","null","340","null","755","null","280","null","315","null","136","null","1698","430","null","null","1487","398","null","null","195","126","null","null","16","null","27","null","1610","null","395","null","1565","378","null","null","39","68","null","null","6","10","null","null","2133","null","514","null","2133","null","514","null","0","192","null","null","0","192","null","null","98","107","null","null",
"0500000US36013","Chautauqua County, New York","37641","1407","null","null","20077","1409","null","null","1484","618","null","null","0","null","192","null","82","98","null","null","1402","null","595","null","2604","712","null","null","261","null","201","null","400","null","181","null","1943","null","661","null","4032","816","null","null","997","350","null","null","1429","592","null","null","1606","null","590","null","4837","null","857","null","2229","null","629","null","1823","493","null","null","785","339","null","null","7011","null","881","null","5535","null","735","null","1143","null","391","null","333","231","null","null","109","177","null","null","17564","1371","null","null","3430","null","706","null","710","null","460","null","761","null","310","null","1959","null","540","null","4088","724","null","null","1845","null","466","null","1533","null","459","null","710","null","321","null","2974","690","null","null","2404","599","null","null","480","432","null","null","90","null","98","null","3693","null","661","null","3530","654","null","null","117","115","null","null","46","75","null","null","3379","null","646","null","3379","null","646","null","0","192","null","null","0","192","null","null","0","192","null","null",
"0500000US36015","Chemung County, New York","23431","1083","null","null","13742","1309","null","null","391","241","null","null","0","null","192","null","34","56","null","null","357","null","217","null","1310","413","null","null","0","null","192","null","336","null","240","null","974","null","395","null","1530","586","null","null","536","364","null","null","309","217","null","null","685","null","330","null","3141","null","728","null","1415","null","459","null","1132","487","null","null","594","389","null","null","7281","null","969","null","6332","null","1001","null","923","null","424","null","26","48","null","null","89","110","null","null","9689","1193","null","null","2033","null","510","null","243","null","197","null","430","null","251","null","1360","null","378","null","1935","584","null","null","1242","null","440","null","459","null","298","null","234","null","157","null","1619","638","null","null","1552","628","null","null","67","87","null","null","0","null","192","null","1495","null","360","null","1443","349","null","null","52","79","null","null","0","192","null","null","2485","null","712","null","2485","null","712","null","0","192","null","null","0","192","null","null","122","101","null","null",
