"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US48215","Hidalgo County, Texas","7275","null","547","null","17856","null","995","null","31613","null","1673","null","54283","null","2810","null","123146","null","9060","null","212957","null","26332","null",
"0500000US48231","Hunt County, Texas","11455","null","1748","null","29659","null","3443","null","48471","null","4086","null","72758","null","8725","null","133001","null","11125","null","187130","null","23274","null",
"0500000US48245","Jefferson County, Texas","9532","null","843","null","24050","null","1525","null","41063","null","2081","null","64423","null","2859","null","152663","null","14896","null","287663","null","52422","null",
"0500000US48251","Johnson County, Texas","17756","null","1524","null","37055","null","2106","null","54376","null","3177","null","78658","null","5304","null","154212","null","20704","null","267324","null","71719","null",
"0500000US48257","Kaufman County, Texas","13867","null","1810","null","35663","null","4001","null","60790","null","4206","null","87655","null","7047","null","154197","null","18747","null","239107","null","54698","null",
"0500000US48291","Liberty County, Texas","11505","null","1638","null","25009","null","3274","null","44458","null","5406","null","76360","null","7048","null","139476","null","11749","null","200674","null","32303","null",
"0500000US48303","Lubbock County, Texas","7963","null","1181","null","24103","null","1428","null","43318","null","1997","null","69584","null","4045","null","153423","null","11276","null","272902","null","33140","null",
"0500000US48309","McLennan County, Texas","7800","null","875","null","23256","null","1503","null","40220","null","2061","null","66897","null","3361","null","153111","null","15914","null","274716","null","58202","null",
"0500000US48329","Midland County, Texas","13162","null","1550","null","33166","null","3383","null","55341","null","4077","null","84742","null","4832","null","208995","null","27403","null","407933","null","85378","null",
"0500000US48339","Montgomery County, Texas","13887","null","1369","null","35346","null","2312","null","62315","null","3542","null","99011","null","5007","null","220303","null","21356","null","382955","null","66365","null",
