"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021EA","B25101_021M","B25101_021MA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032EA","B25101_032M","B25101_032MA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034M","B25101_034MA","B25101_034EA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"0500000US05119","Pulaski County, Arkansas","90532","3124","null","null","57059","2697","null","null","3412","null","899","null","40","null","66","null","63","105","null","null","3309","896","null","null","6098","null","1067","null","479","null","451","null","1154","434","null","null","4465","1010","null","null","6890","1443","null","null","1237","581","null","null","3121","917","null","null","2532","887","null","null","10683","1360","null","null","4496","null","984","null","4226","1013","null","null","1961","816","null","null","29451","2300","null","null","23830","2173","null","null","4172","null","949","null","1449","573","null","null","525","366","null","null","33473","2319","null","null","5899","null","1047","null","1067","null","560","null","1160","null","487","null","3672","888","null","null","6337","1045","null","null","4083","null","664","null","1564","null","582","null","690","null","429","null","4674","887","null","null","4129","871","null","null","385","null","259","null","160","null","172","null","6756","null","1194","null","6696","null","1203","null","60","101","null","null","0","null","190","null","9398","null","1335","null","9185","null","1297","null","213","null","322","null","0","190","null","null","409","346","null","null",
"0500000US05125","Saline County, Arkansas","33203","1637","null","null","20435","1727","null","null","1378","null","755","null","0","null","190","null","72","110","null","null","1306","748","null","null","1479","null","569","null","50","null","84","null","599","327","null","null","830","404","null","null","3641","1252","null","null","305","219","null","null","1984","881","null","null","1352","668","null","null","3948","997","null","null","2006","null","797","null","1814","654","null","null","128","218","null","null","9989","1363","null","null","8706","1306","null","null","895","null","385","null","388","232","null","null","0","190","null","null","12768","1497","null","null","2016","null","617","null","824","null","414","null","234","null","175","null","958","513","null","null","1971","625","null","null","1468","null","457","null","427","null","354","null","76","null","127","null","1608","597","null","null","1608","597","null","null","0","null","190","null","0","null","190","null","3838","null","931","null","3838","null","931","null","0","190","null","null","0","null","190","null","3288","null","1060","null","3288","null","1060","null","0","null","190","null","0","190","null","null","47","56","null","null",
"0500000US05131","Sebastian County, Arkansas","29874","1553","null","null","18481","1630","null","null","1672","null","734","null","0","null","190","null","109","140","null","null","1563","747","null","null","2566","null","848","null","0","null","190","null","667","333","null","null","1899","771","null","null","2165","774","null","null","201","189","null","null","1287","606","null","null","677","459","null","null","4378","994","null","null","2317","null","676","null","1555","673","null","null","506","303","null","null","7324","1090","null","null","5855","959","null","null","1302","null","622","null","167","264","null","null","376","527","null","null","11393","1328","null","null","1867","null","752","null","332","null","235","null","309","null","193","null","1226","662","null","null","2741","704","null","null","2168","null","602","null","478","null","398","null","95","null","185","null","1681","532","null","null","1681","532","null","null","0","null","190","null","0","null","190","null","2169","null","606","null","2169","null","606","null","0","190","null","null","0","null","190","null","2561","null","751","null","2511","null","752","null","50","null","82","null","0","190","null","null","374","302","null","null",
"0500000US05143","Washington County, Arkansas","43793","2313","null","null","27980","2211","null","null","1268","null","500","null","0","null","190","null","0","190","null","null","1268","500","null","null","2225","null","852","null","294","null","364","null","544","353","null","null","1387","610","null","null","3270","1042","null","null","359","306","null","null","1502","712","null","null","1409","827","null","null","7463","1511","null","null","3434","null","1296","null","3245","1033","null","null","784","382","null","null","13754","1712","null","null","10863","1403","null","null","2308","null","809","null","583","432","null","null","0","190","null","null","15813","1404","null","null","1856","null","575","null","661","null","289","null","488","null","278","null","707","438","null","null","3124","850","null","null","2789","null","806","null","335","null","197","null","0","null","190","null","2879","909","null","null","2773","895","null","null","106","null","120","null","0","null","190","null","3008","null","778","null","2924","null","769","null","84","139","null","null","0","null","190","null","4230","null","891","null","4230","null","891","null","0","null","190","null","0","190","null","null","716","565","null","null",
"0500000US05145","White County, Arkansas","18450","1489","null","null","8634","1480","null","null","371","null","249","null","0","null","190","null","0","190","null","null","371","249","null","null","1184","null","677","null","80","null","94","null","635","560","null","null","469","323","null","null","1228","497","null","null","245","165","null","null","568","345","null","null","415","292","null","null","1948","683","null","null","1469","null","673","null","479","333","null","null","0","190","null","null","3734","916","null","null","3453","907","null","null","281","null","227","null","0","190","null","null","169","214","null","null","9816","1548","null","null","2543","null","779","null","897","null","444","null","980","null","511","null","666","399","null","null","1708","635","null","null","1231","null","473","null","466","null","342","null","11","null","19","null","1391","571","null","null","1351","574","null","null","40","null","73","null","0","null","190","null","1976","null","634","null","1947","null","629","null","0","190","null","null","29","null","51","null","1978","null","682","null","1978","null","682","null","0","null","190","null","0","190","null","null","220","211","null","null",
"0500000US06001","Alameda County, California","300205","4712","null","null","220989","4964","null","null","7607","null","1323","null","0","null","201","null","143","182","null","null","7464","1245","null","null","9665","null","1444","null","79","null","132","null","375","317","null","null","9211","1433","null","null","12044","1507","null","null","374","212","null","null","1088","480","null","null","10582","1492","null","null","24447","2295","null","null","1233","null","459","null","4518","949","null","null","18696","1952","null","null","166274","3728","null","null","74050","3045","null","null","58176","null","2895","null","34048","2595","null","null","952","324","null","null","79216","3501","null","null","8634","null","1337","null","1078","null","561","null","1382","null","526","null","6174","1083","null","null","8775","1288","null","null","3764","null","855","null","2914","null","694","null","2097","null","619","null","9616","1305","null","null","7501","1267","null","null","1253","null","387","null","862","null","436","null","12608","null","1438","null","11670","null","1397","null","773","389","null","null","165","null","194","null","38925","null","2520","null","38499","null","2506","null","321","null","202","null","105","128","null","null","658","346","null","null",
"0500000US06007","Butte County, California","49074","1818","null","null","30397","1822","null","null","2318","null","728","null","0","null","201","null","30","51","null","null","2288","728","null","null","2435","null","624","null","82","null","99","null","459","302","null","null","1894","575","null","null","4504","1002","null","null","745","490","null","null","1234","471","null","null","2525","754","null","null","5826","1084","null","null","995","null","370","null","2242","662","null","null","2589","804","null","null","15160","1668","null","null","8918","1364","null","null","5234","null","1055","null","1008","522","null","null","154","182","null","null","18677","1681","null","null","3898","null","1024","null","771","null","420","null","686","null","345","null","2441","913","null","null","3398","753","null","null","2161","null","587","null","738","null","309","null","499","null","374","null","2903","826","null","null","2582","809","null","null","189","null","146","null","132","null","129","null","3080","null","749","null","2933","null","740","null","147","166","null","null","0","null","201","null","5243","null","952","null","5218","null","953","null","25","null","43","null","0","201","null","null","155","158","null","null",
"0500000US06013","Contra Costa County, California","251343","4990","null","null","185998","4593","null","null","5370","null","1024","null","0","null","201","null","0","201","null","null","5370","1024","null","null","9275","null","1411","null","77","null","87","null","334","240","null","null","8864","1419","null","null","12510","1867","null","null","402","241","null","null","1312","684","null","null","10796","1693","null","null","22838","1884","null","null","1503","null","625","null","4839","1003","null","null","16496","1638","null","null","134771","4282","null","null","61997","3340","null","null","46617","null","3277","null","26157","2516","null","null","1234","676","null","null","65345","3322","null","null","6398","null","994","null","849","null","453","null","839","null","377","null","4710","906","null","null","10020","1508","null","null","3948","null","938","null","2369","null","657","null","3703","null","995","null","7270","1171","null","null","4185","882","null","null","1963","null","580","null","1122","null","537","null","10288","null","1239","null","8687","null","1161","null","1428","522","null","null","173","null","147","null","30843","null","2150","null","30444","null","2172","null","354","null","226","null","45","74","null","null","526","300","null","null",
"0500000US06017","El Dorado County, California","52967","2291","null","null","38582","2279","null","null","2029","null","713","null","0","null","201","null","21","34","null","null","2008","712","null","null","3176","null","909","null","243","null","231","null","300","372","null","null","2633","786","null","null","2141","774","null","null","119","190","null","null","348","250","null","null","1674","686","null","null","5369","1183","null","null","424","null","258","null","1454","532","null","null","3491","902","null","null","25753","1988","null","null","12955","1487","null","null","7912","null","1377","null","4886","943","null","null","114","135","null","null","14385","1524","null","null","2145","null","692","null","174","null","169","null","300","null","263","null","1671","592","null","null","1965","630","null","null","464","null","285","null","793","null","337","null","708","null","390","null","1928","705","null","null","1346","544","null","null","545","null","425","null","37","null","60","null","3085","null","730","null","2786","null","708","null","235","215","null","null","64","null","75","null","5262","null","912","null","5262","null","912","null","0","null","201","null","0","201","null","null","0","201","null","null",
"0500000US06019","Fresno County, California","158419","3706","null","null","112019","3921","null","null","6972","null","1399","null","0","null","201","null","185","156","null","null","6787","1402","null","null","12223","null","1786","null","110","null","106","null","1172","515","null","null","10941","1644","null","null","11119","1311","null","null","1022","386","null","null","2971","832","null","null","7126","1041","null","null","25550","2585","null","null","4915","null","1148","null","12306","1686","null","null","8329","1438","null","null","55626","3098","null","null","35319","2518","null","null","15659","null","1640","null","4648","886","null","null","529","309","null","null","46400","2218","null","null","7837","null","1239","null","1767","null","574","null","1405","null","513","null","4665","944","null","null","8333","988","null","null","4651","null","789","null","3041","null","740","null","641","null","337","null","6132","996","null","null","4941","866","null","null","1106","null","524","null","85","null","102","null","9002","null","1376","null","8889","null","1382","null","100","96","null","null","13","null","22","null","14425","null","1696","null","14425","null","1696","null","0","null","201","null","0","201","null","null","671","407","null","null",
"0500000US06023","Humboldt County, California","29809","1731","null","null","16693","1541","null","null","1187","null","520","null","0","null","201","null","0","201","null","null","1187","520","null","null","2431","null","830","null","0","null","201","null","39","51","null","null","2392","835","null","null","2653","844","null","null","39","50","null","null","452","278","null","null","2162","777","null","null","3930","834","null","null","698","null","344","null","1138","501","null","null","2094","663","null","null","6389","842","null","null","3681","697","null","null","1943","null","633","null","765","327","null","null","103","90","null","null","13116","1488","null","null","1953","null","501","null","596","null","288","null","432","null","257","null","925","369","null","null","2612","589","null","null","1524","null","528","null","780","null","359","null","308","null","228","null","2735","905","null","null","2447","852","null","null","215","null","246","null","73","null","91","null","1672","null","636","null","1603","null","632","null","69","76","null","null","0","null","201","null","3869","null","948","null","3571","null","801","null","298","null","421","null","0","201","null","null","275","181","null","null",
