"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"    Estimate","3,129,641","2,013,018","92,297","5","1,232","91,060","154,145","3,910","18,650","131,585","200,283","21,303","55,727","123,253","370,149","96,033","139,305","134,811","1,187,704","744,652","338,514","104,538","8,440","1,116,623","153,549","20,227","25,236","108,086","189,915","82,521","58,093","49,301","159,548","112,221","36,304","11,023","202,646","179,953","18,065","4,628","396,863","389,424","6,662","777","14,102"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,714,880","1,136,967","61,144","78","1,428","59,638","117,849","7,586","26,362","83,901","154,765","32,532","67,519","54,714","252,811","123,742","99,178","29,891","545,768","457,302","77,583","10,883","4,630","577,913","93,131","22,064","24,492","46,575","114,233","80,820","24,345","9,068","97,329","90,267","5,851","1,211","110,377","108,812","1,368","197","155,284","154,897","292","95","7,559"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","881,480","527,408","23,225","42","457","22,726","42,692","1,710","9,106","31,876","62,241","12,044","25,687","24,510","119,893","53,883","48,544","17,466","278,020","221,540","48,009","8,471","1,337","354,072","52,246","7,558","12,091","32,597","66,594","39,980","19,840","6,774","55,686","49,113","5,876","697","73,954","72,317","1,294","343","102,711","102,486","205","20","2,881"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","738,336","444,283","17,870","65","347","17,458","36,190","1,072","6,969","28,149","52,151","7,452","21,913","22,786","95,189","37,001","40,683","17,505","241,691","179,582","53,696","8,413","1,192","294,053","43,244","6,306","9,132","27,806","53,387","30,153","16,726","6,508","44,968","40,275","3,920","773","56,803","55,157","1,486","160","91,419","91,103","316","0","4,232"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,138,253","659,302","51,040","247","1,559","49,234","72,861","4,669","18,319","49,873","85,434","17,875","35,350","32,209","145,230","70,951","56,793","17,486","301,155","243,632","49,591","7,932","3,582","478,951","106,918","32,116","27,995","46,807","96,983","76,367","15,545","5,071","76,468","71,759","3,946","763","79,269","78,088","910","271","112,760","112,418","342","0","6,553"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,122,294","587,929","41,410","312","989","40,109","57,308","2,094","9,757","45,457","65,444","10,110","24,481","30,853","112,952","43,194","45,487","24,271","307,167","238,957","56,919","11,291","3,648","534,365","117,303","36,935","28,593","51,775","99,624","78,271","16,962","4,391","75,239","71,061","3,272","906","89,025","87,680","1,153","192","144,607","143,983","624","0","8,567"
