"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US30013","Cascade County, Montana","10529","1432","null","null","26157","2395","null","null","44700","null","2907","null","69143","null","5343","null","176941","30844","null","null","338287","109069","null","null",
"0500000US30029","Flathead County, Montana","11834","1947","null","null","27795","3110","null","null","47007","null","4949","null","73926","null","6181","null","180781","24579","null","null","344784","60047","null","null",
"0500000US30031","Gallatin County, Montana","14298","2162","null","null","36416","2407","null","null","57316","null","2784","null","89405","null","5865","null","198593","13568","null","null","361219","38739","null","null",
"0500000US30049","Lewis and Clark County, Montana","15187","3693","null","null","36983","3349","null","null","59074","null","5159","null","85633","null","6321","null","150725","15289","null","null","235145","45153","null","null",
"0500000US30063","Missoula County, Montana","9577","1755","null","null","26837","2358","null","null","44266","null","3444","null","70734","null","4613","null","152441","14907","null","null","256565","48318","null","null",
"0500000US30111","Yellowstone County, Montana","15531","1562","null","null","36227","2203","null","null","57337","null","2905","null","81757","null","4280","null","180375","16681","null","null","335131","56846","null","null",
"0500000US31055","Douglas County, Nebraska","12799","950","null","null","34058","1234","null","null","58026","null","1501","null","91978","null","2163","null","205485","9513","null","null","377345","29174","null","null",
"0500000US31109","Lancaster County, Nebraska","13063","1105","null","null","32858","1525","null","null","54650","null","2208","null","84333","null","2681","null","169826","10350","null","null","292575","32316","null","null",
"0500000US31153","Sarpy County, Nebraska","22499","1729","null","null","47349","2634","null","null","73661","null","3340","null","105766","null","4110","null","181937","7812","null","null","256747","21432","null","null",
"0500000US32003","Clark County, Nevada","12334","414","null","null","31633","603","null","null","51848","null","1049","null","79577","null","1262","null","173226","4957","null","null","311293","16752","null","null",
