"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022EA","B25101_022M","B25101_022MA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031EA","B25101_031M","B25101_031MA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044EA","B25101_044M","B25101_044MA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"0500000US06033","Lake County, California","17475","null","1334","null","9374","1443","null","null","569","401","null","null","0","216","null","null","0","216","null","null","569","401","null","null","1482","795","null","null","0","null","216","null","441","472","null","null","1041","571","null","null","1518","645","null","null","75","null","98","null","420","null","309","null","1023","562","null","null","1621","731","null","null","256","278","null","null","497","null","373","null","868","590","null","null","4071","995","null","null","2586","824","null","null","1248","539","null","null","237","null","203","null","113","null","141","null","8101","1494","null","null","1980","854","null","null","490","385","null","null","785","null","652","null","705","null","399","null","870","442","null","null","378","null","294","null","337","null","262","null","155","160","null","null","1977","940","null","null","1415","null","694","null","493","null","612","null","69","null","123","null","1310","492","null","null","1234","476","null","null","76","null","135","null","0","216","null","null","1686","null","689","null","1686","689","null","null","0","216","null","null","0","null","216","null","278","null","415","null",
"0500000US06037","Los Angeles County, California","1511628","null","13492","null","1061354","11742","null","null","41287","3139","null","null","238","207","null","null","223","280","null","null","40826","3193","null","null","51653","3640","null","null","347","null","225","null","973","441","null","null","50333","3616","null","null","64372","3704","null","null","891","null","369","null","4324","null","956","null","59157","3705","null","null","136136","4255","null","null","7071","992","null","null","21197","null","2359","null","107868","3927","null","null","762614","10486","null","null","312248","9156","null","null","257407","7396","null","null","192959","null","6458","null","5292","null","1147","null","450274","8138","null","null","47793","3471","null","null","4633","934","null","null","6754","null","1305","null","36406","null","2954","null","52535","3288","null","null","19454","null","2073","null","13766","null","1662","null","19315","2355","null","null","47028","3316","null","null","30230","null","2629","null","10111","null","1710","null","6687","null","1249","null","74564","3941","null","null","61204","3583","null","null","9365","null","1716","null","3995","1243","null","null","222830","null","5116","null","214926","5022","null","null","6428","1191","null","null","1476","null","565","null","5524","null","1115","null",
"0500000US06039","Madera County, California","28221","null","1983","null","19278","1843","null","null","372","232","null","null","0","216","null","null","0","216","null","null","372","232","null","null","2210","828","null","null","86","null","145","null","63","106","null","null","2061","788","null","null","1641","590","null","null","473","null","455","null","52","null","93","null","1116","493","null","null","2730","775","null","null","507","397","null","null","1118","null","600","null","1105","444","null","null","12191","1893","null","null","7611","1719","null","null","3711","1003","null","null","869","null","483","null","134","null","155","null","8943","1277","null","null","1302","737","null","null","149","160","null","null","63","null","106","null","1090","null","715","null","1518","665","null","null","1264","null","669","null","138","null","162","null","116","143","null","null","1316","513","null","null","875","null","476","null","151","null","175","null","290","null","223","null","1120","511","null","null","1120","511","null","null","0","null","216","null","0","216","null","null","3687","null","827","null","3400","727","null","null","287","284","null","null","0","null","216","null","0","null","216","null",
"0500000US06041","Marin County, California","65325","null","2831","null","43635","2862","null","null","742","389","null","null","0","216","null","null","0","216","null","null","742","389","null","null","1921","1026","null","null","0","null","216","null","0","216","null","null","1921","1026","null","null","1078","479","null","null","0","null","216","null","64","null","108","null","1014","467","null","null","2487","792","null","null","157","182","null","null","320","null","311","null","2010","732","null","null","37254","2571","null","null","14712","1648","null","null","11007","1680","null","null","11535","null","1570","null","153","null","173","null","21690","2264","null","null","2390","768","null","null","137","182","null","null","0","null","216","null","2253","null","771","null","2023","631","null","null","369","null","352","null","429","null","263","null","1225","558","null","null","2072","666","null","null","1068","null","541","null","242","null","185","null","762","null","401","null","2482","861","null","null","1165","479","null","null","899","null","556","null","418","302","null","null","12321","null","1625","null","11302","1553","null","null","735","411","null","null","284","null","212","null","402","null","361","null",
"0500000US06045","Mendocino County, California","20758","null","1739","null","9169","1608","null","null","1073","602","null","null","0","216","null","null","0","216","null","null","1073","602","null","null","742","416","null","null","43","null","82","null","115","204","null","null","584","373","null","null","492","311","null","null","0","null","216","null","0","null","216","null","492","311","null","null","1526","600","null","null","352","240","null","null","189","null","176","null","985","545","null","null","5325","1354","null","null","2691","910","null","null","1799","863","null","null","835","null","522","null","11","null","19","null","11589","1534","null","null","1270","529","null","null","506","373","null","null","9","null","19","null","755","null","382","null","2078","822","null","null","882","null","462","null","468","null","461","null","728","493","null","null","1854","785","null","null","1407","null","715","null","355","null","386","null","92","null","108","null","2352","964","null","null","2009","839","null","null","226","null","196","null","117","148","null","null","3632","null","839","null","3517","831","null","null","115","140","null","null","0","null","216","null","403","null","406","null",
"0500000US06047","Merced County, California","42067","null","2633","null","27135","2638","null","null","395","235","null","null","0","216","null","null","0","216","null","null","395","235","null","null","2113","791","null","null","0","null","216","null","190","261","null","null","1923","739","null","null","3644","1083","null","null","286","null","235","null","889","null","477","null","2469","1068","null","null","5489","1481","null","null","954","472","null","null","2797","null","1127","null","1738","717","null","null","15444","1909","null","null","10084","1656","null","null","4213","1404","null","null","1147","null","610","null","50","null","90","null","14932","1962","null","null","2599","913","null","null","476","343","null","null","445","null","371","null","1678","null","801","null","1695","714","null","null","1187","null","663","null","303","null","175","null","205","135","null","null","2025","724","null","null","1670","null","682","null","321","null","275","null","34","null","59","null","2771","883","null","null","2663","872","null","null","108","null","144","null","0","216","null","null","5817","null","1238","null","5817","1238","null","null","0","216","null","null","0","null","216","null","25","null","44","null",
"0500000US06053","Monterey County, California","67742","null","2855","null","45013","2401","null","null","1507","547","null","null","0","216","null","null","81","100","null","null","1426","535","null","null","2144","696","null","null","12","null","20","null","0","216","null","null","2132","697","null","null","3008","934","null","null","0","null","216","null","249","null","217","null","2759","905","null","null","6648","1299","null","null","707","426","null","null","1463","null","568","null","4478","1009","null","null","31638","2313","null","null","12491","1555","null","null","11544","1605","null","null","7603","null","1271","null","68","null","90","null","22729","1810","null","null","1864","669","null","null","219","173","null","null","131","null","131","null","1514","null","648","null","3439","868","null","null","1393","null","554","null","992","null","530","null","1054","526","null","null","2397","662","null","null","967","null","403","null","769","null","437","null","661","null","450","null","4552","967","null","null","3118","789","null","null","920","null","455","null","514","344","null","null","10281","null","1296","null","9945","1242","null","null","293","274","null","null","43","null","69","null","196","null","179","null",
"0500000US06055","Napa County, California","31820","null","1278","null","19836","1379","null","null","721","315","null","null","0","216","null","null","0","216","null","null","721","315","null","null","645","274","null","null","0","null","216","null","0","216","null","null","645","274","null","null","1383","576","null","null","0","null","216","null","0","null","216","null","1383","576","null","null","1938","589","null","null","137","138","null","null","560","null","282","null","1241","476","null","null","15149","1368","null","null","6519","1036","null","null","5199","799","null","null","3431","null","818","null","0","null","216","null","11984","1332","null","null","962","544","null","null","106","130","null","null","34","null","56","null","822","null","522","null","966","462","null","null","160","null","132","null","65","null","77","null","741","444","null","null","1779","680","null","null","799","null","439","null","581","null","465","null","399","null","249","null","1841","584","null","null","1202","421","null","null","362","null","266","null","277","308","null","null","6352","null","1088","null","6220","1090","null","null","65","110","null","null","67","null","84","null","84","null","98","null",
"0500000US06057","Nevada County, California","28610","null","1897","null","18627","1907","null","null","691","346","null","null","0","216","null","null","0","216","null","null","691","346","null","null","2480","895","null","null","0","null","216","null","0","216","null","null","2480","895","null","null","1039","534","null","null","0","null","216","null","76","null","133","null","963","509","null","null","2029","668","null","null","59","78","null","null","262","null","240","null","1708","625","null","null","12301","1531","null","null","6130","1236","null","null","4418","1118","null","null","1753","null","660","null","87","null","117","null","9983","1326","null","null","693","362","null","null","83","137","null","null","0","null","216","null","610","null","345","null","1819","855","null","null","232","null","209","null","414","null","349","null","1173","826","null","null","1946","736","null","null","988","null","483","null","809","null","618","null","149","null","148","null","1320","526","null","null","1032","503","null","null","244","null","228","null","44","77","null","null","4003","null","860","null","3968","857","null","null","35","64","null","null","0","null","216","null","202","null","160","null",
"0500000US06059","Orange County, California","596413","null","7634","null","409883","7957","null","null","9498","1563","null","null","0","216","null","null","51","83","null","null","9447","1545","null","null","14803","2002","null","null","38","null","64","null","123","121","null","null","14642","1989","null","null","20400","2680","null","null","453","null","198","null","1276","null","572","null","18671","2571","null","null","39909","3309","null","null","1607","463","null","null","6299","null","1292","null","32003","3052","null","null","322851","7224","null","null","143018","4797","null","null","102722","4672","null","null","77111","null","3710","null","2422","null","755","null","186530","5689","null","null","16707","2183","null","null","1458","429","null","null","1983","null","728","null","13266","null","2059","null","21527","2216","null","null","9073","null","1537","null","5463","null","1420","null","6991","1077","null","null","18375","1991","null","null","9662","null","1411","null","4844","null","1185","null","3869","null","1056","null","24984","2232","null","null","20049","2004","null","null","3496","null","959","null","1439","684","null","null","102265","null","4291","null","100266","4207","null","null","1524","411","null","null","475","null","380","null","2672","null","991","null",
