"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US39113","Montgomery County, Ohio","12433","null","926","null","32128","1516","null","null","54640","null","1853","null","84263","2318","null","null","180439","10817","null","null","330164","null","38898","null",
"0500000US39119","Muskingum County, Ohio","12598","null","1924","null","30393","2655","null","null","52443","null","4781","null","77697","4505","null","null","153144","19824","null","null","251949","null","65880","null",
"0500000US39133","Portage County, Ohio","14085","null","1708","null","36294","2696","null","null","57003","null","3076","null","87824","5058","null","null","177490","13798","null","null","298655","null","42808","null",
"0500000US39139","Richland County, Ohio","13242","null","1385","null","32020","2248","null","null","51910","null","3024","null","76388","3938","null","null","154741","25083","null","null","285430","null","96510","null",
"0500000US39141","Ross County, Ohio","11718","null","2514","null","29535","3721","null","null","54599","null","6735","null","82668","5436","null","null","172968","28890","null","null","322637","null","98961","null",
"0500000US39145","Scioto County, Ohio","9425","null","2107","null","26165","5260","null","null","46452","null","5975","null","77867","7036","null","null","141154","11500","null","null","201287","null","16097","null",
"0500000US39151","Stark County, Ohio","13791","null","1214","null","33477","1569","null","null","55225","null","1774","null","83486","2999","null","null","172651","9506","null","null","301127","null","31260","null",
"0500000US39153","Summit County, Ohio","13060","null","1024","null","34003","1282","null","null","56915","null","1927","null","89282","2652","null","null","219245","16192","null","null","415807","null","56563","null",
"0500000US39155","Trumbull County, Ohio","11038","null","1203","null","29018","2486","null","null","46929","null","2280","null","69418","3444","null","null","162975","14320","null","null","310050","null","49675","null",
"0500000US39157","Tuscarawas County, Ohio","14033","null","2451","null","33516","3063","null","null","53910","null","3799","null","78119","4049","null","null","153341","16797","null","null","271975","null","59367","null",
"0500000US39165","Warren County, Ohio","28066","null","2789","null","59545","3493","null","null","90513","null","4462","null","137591","8650","null","null","300909","30664","null","null","532169","null","100892","null",
"0500000US39169","Wayne County, Ohio","15293","null","1950","null","36626","2505","null","null","58360","null","3297","null","85105","4620","null","null","166466","14038","null","null","272993","null","40471","null",
"0500000US39173","Wood County, Ohio","15183","null","1942","null","39376","3474","null","null","64188","null","3589","null","94232","5510","null","null","198536","14067","null","null","307896","null","36577","null",
