"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19083_001E","Estimate!!Gini Index"
"B19083_001M","Margin of Error!!Gini Index"
"B19083_001MA","Annotation of Margin of Error!!Gini Index"
"B19083_001EA","Annotation of Estimate!!Gini Index"
