"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","78,724,862","48,603,972","1,992,552","5,529","22,618","1,964,405","3,174,824","79,283","383,355","2,712,186","4,112,707","412,842","1,229,611","2,470,254","8,026,830","2,144,511","3,044,871","2,837,448","31,096,372","20,378,558","7,820,581","2,897,233","200,687","30,120,890","3,923,628","700,062","766,020","2,457,546","4,528,250","2,448,020","1,189,072","891,158","4,029,071","3,182,024","604,667","242,380","5,467,194","4,979,437","379,239","108,518","11,807,335","11,608,164","168,328","30,843","365,412"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,305,223","721,996","45,989","75","608","45,306","67,979","2,414","12,147","53,418","79,494","10,232","38,035","31,227","137,233","57,089","56,295","23,849","386,359","321,119","55,989","9,251","4,942","583,227","106,824","30,201","26,956","49,667","100,975","77,877","18,018","5,080","88,925","84,741","3,652","532","108,772","107,851","576","345","169,869","169,626","235","8","7,862"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","163,272","99,293","3,031","0","0","3,031","4,052","124","150","3,778","6,899","233","1,411","5,255","16,169","1,953","5,879","8,337","68,982","41,383","21,098","6,501","160","63,979","8,196","1,862","1,377","4,957","6,642","3,666","1,603","1,373","6,054","4,541","1,210","303","12,507","11,241","1,244","22","30,081","29,911","170","0","499"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,742,670","1,087,076","51,238","41","354","50,843","77,956","2,246","9,635","66,075","111,381","9,576","34,838","66,967","193,285","51,529","84,082","57,674","647,097","455,819","155,578","35,700","6,119","655,594","91,928","21,135","15,759","55,034","101,788","64,821","23,480","13,487","97,599","84,014","10,523","3,062","123,029","119,501","3,031","497","229,622","228,585","949","88","11,628"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","761,809","403,551","24,800","12","537","24,251","45,344","2,686","11,115","31,543","47,142","8,522","23,215","15,405","81,579","39,378","32,112","10,089","203,436","171,711","26,436","5,289","1,250","358,258","66,790","20,405","16,948","29,437","67,121","51,058","12,873","3,190","50,931","48,507","2,100","324","65,569","65,279","251","39","103,439","103,329","110","0","4,408"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
