"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"    Estimate","7,218,742","4,978,989","169,209","861","861","167,487","244,279","2,737","9,074","232,468","301,676","8,855","34,214","258,607","627,551","53,155","149,681","424,715","3,613,855","1,675,852","1,182,267","755,736","22,419","2,239,753","242,821","28,316","33,701","180,804","275,836","111,005","73,823","91,008","253,141","166,009","57,034","30,098","353,254","299,511","40,433","13,310","1,086,896","1,060,211","21,808","4,877","27,805"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,471,912","1,042,379","35,493","82","706","34,705","55,892","717","3,401","51,774","76,267","4,946","14,621","56,700","154,515","22,709","56,984","74,822","715,801","439,607","203,288","72,906","4,411","429,533","48,247","6,507","8,452","33,288","57,636","29,701","17,135","10,800","48,810","40,720","6,687","1,403","75,683","71,683","3,414","586","194,283","193,363","778","142","4,874"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","895,594","593,009","15,243","58","0","15,185","29,763","286","710","28,767","36,917","650","3,929","32,338","79,602","4,430","23,648","51,524","428,540","244,377","130,750","53,413","2,944","302,585","24,689","885","507","23,297","35,188","3,444","8,449","23,295","33,891","9,900","14,909","9,082","50,277","34,585","12,298","3,394","154,650","149,066","4,546","1,038","3,890"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","264,503","173,325","7,452","0","0","7,452","10,345","160","919","9,266","14,405","1,586","3,535","9,284","30,864","6,049","13,965","10,850","109,968","77,837","25,468","6,663","291","91,178","12,620","1,981","1,765","8,874","10,964","5,916","2,971","2,077","11,639","9,632","1,079","928","16,528","15,621","501","406","38,619","38,469","64","86","808"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","120,988","92,531","2,525","0","0","2,525","2,269","0","0","2,269","3,872","123","834","2,915","7,201","384","1,928","4,889","76,140","42,477","22,986","10,677","524","28,457","2,343","231","561","1,551","2,184","741","447","996","2,059","1,467","278","314","3,817","3,197","484","136","17,472","17,059","413","0","582"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,237,519","2,948,085","158,547","229","1,105","157,213","256,607","6,162","22,742","227,703","318,905","25,900","82,893","210,112","541,125","127,208","207,371","206,546","1,655,737","1,069,016","439,794","146,927","17,164","2,289,434","342,373","63,694","59,410","219,269","360,454","185,061","99,249","76,144","316,321","246,506","51,437","18,378","419,570","376,922","33,380","9,268","817,092","798,843","14,852","3,397","33,624"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,470,572","1,585,366","76,987","112","913","75,962","111,143","3,148","11,705","96,290","144,458","12,228","47,238","84,992","289,036","82,058","124,746","82,232","953,160","697,486","211,336","44,338","10,582","885,206","129,107","25,854","31,273","71,980","137,330","88,212","34,746","14,372","113,227","102,212","8,713","2,302","159,735","153,276","5,201","1,258","329,077","327,507","1,394","176","16,730"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","279,960","180,304","5,653","0","0","5,653","9,023","0","482","8,541","9,013","20","870","8,123","23,321","1,538","3,888","17,895","132,809","56,470","42,781","33,558","485","99,656","9,109","1,197","637","7,275","11,610","4,506","3,785","3,319","10,521","8,030","1,934","557","17,205","15,430","1,437","338","49,958","49,273","654","31","1,253"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","469,387","301,624","13,864","40","477","13,347","22,429","306","2,614","19,509","34,000","3,950","13,878","16,172","60,797","19,857","26,395","14,545","169,426","123,563","38,488","7,375","1,108","167,763","22,374","5,015","5,198","12,161","28,305","20,691","4,913","2,701","21,910","19,955","1,578","377","36,386","36,051","335","0","57,350","56,798","552","0","1,438"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,211,867","2,004,309","77,561","125","933","76,503","121,985","3,197","14,795","103,993","161,878","17,835","45,477","98,566","314,012","79,570","114,293","120,149","1,321,357","857,240","351,900","112,217","7,516","1,207,558","133,840","13,301","19,358","101,181","162,861","69,004","46,754","47,103","160,176","107,705","39,158","13,313","218,145","188,980","22,861","6,304","519,040","508,488","8,636","1,916","13,496"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,800,483","1,174,571","56,442","143","765","55,534","96,523","4,930","22,082","69,511","130,817","23,342","58,717","48,758","239,554","116,271","92,419","30,864","645,568","545,516","85,380","14,672","5,667","625,912","83,069","14,793","22,669","45,607","103,894","68,291","25,139","10,464","94,134","85,995","6,712","1,427","128,329","125,412","2,619","298","210,568","210,076","421","71","5,918"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","907,880","543,781","20,985","125","348","20,512","36,431","1,375","6,945","28,111","53,211","7,178","21,851","24,182","106,401","42,141","45,617","18,643","325,759","252,842","62,177","10,740","994","364,099","41,821","5,224","8,747","27,850","56,381","28,650","19,081","8,650","54,671","46,766","6,039","1,866","75,581","72,353","3,069","159","132,526","132,242","284","0","3,119"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","756,566","438,405","14,962","108","208","14,646","24,309","614","4,086","19,609","38,959","4,858","15,548","18,553","86,128","28,257","37,793","20,078","272,971","204,624","56,601","11,746","1,076","318,161","37,305","5,713","9,098","22,494","48,331","26,475","14,900","6,956","48,830","39,945","7,645","1,240","62,229","59,201","2,789","239","118,858","118,271","470","117","2,608"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,171,824","667,344","36,926","28","1,178","35,720","56,479","2,468","11,880","42,131","76,307","12,494","33,512","30,301","137,488","57,776","58,168","21,544","358,280","292,260","54,384","11,636","1,864","504,480","94,693","25,688","25,356","43,649","96,171","70,925","20,394","4,852","72,036","68,133","3,266","637","92,032","89,560","2,139","333","142,882","142,527","319","36","6,666"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,157,652","598,175","38,326","277","668","37,381","51,428","1,976","6,665","42,787","58,673","9,210","18,733","30,730","103,625","35,692","44,783","23,150","341,227","269,797","58,407","13,023","4,896","559,477","103,194","35,746","20,799","46,649","102,795","78,982","16,747","7,066","73,715","68,973","4,217","525","94,062","92,343","1,228","491","175,170","174,351","779","40","10,541"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","414,119","250,451","11,986","0","144","11,842","20,008","401","2,790","16,817","24,923","2,104","7,743","15,076","49,215","15,015","21,317","12,883","143,719","102,118","33,603","7,998","600","163,668","23,231","3,379","4,794","15,058","28,972","13,437","9,145","6,390","26,421","20,105","4,740","1,576","30,372","28,272","1,836","264","53,099","52,542","459","98","1,573"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,488,168","1,070,608","31,191","66","256","30,869","41,253","470","2,095","38,688","59,941","2,588","10,270","47,083","133,128","17,241","43,088","72,799","800,323","475,696","235,602","89,025","4,772","417,560","39,867","2,751","4,209","32,907","50,741","19,909","17,252","13,580","45,005","31,593","9,780","3,632","67,360","61,444","4,386","1,530","210,506","207,965","2,376","165","4,081"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,647,747","1,124,858","29,115","70","72","28,973","43,882","337","893","42,652","58,160","1,529","6,000","50,631","128,397","9,952","37,258","81,187","862,222","472,401","267,070","122,751","3,082","522,889","42,212","1,091","2,378","38,743","61,634","7,854","19,227","34,553","55,247","25,179","20,797","9,271","84,321","64,370","16,802","3,149","275,171","266,729","7,630","812","4,304"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,841,195","1,685,281","78,042","221","1,786","76,035","136,951","3,696","22,192","111,063","178,327","25,115","67,264","85,948","313,686","114,760","135,737","63,189","972,935","757,668","178,900","36,367","5,340","1,155,914","149,501","17,614","26,269","105,618","197,572","101,970","63,754","31,848","177,374","149,807","23,439","4,128","227,350","215,521","10,236","1,593","390,395","387,055","3,241","99","13,722"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,598,396","1,041,172","29,388","225","109","29,054","51,602","1,013","5,307","45,282","75,734","6,692","22,313","46,729","171,698","40,029","73,496","58,173","710,858","504,254","170,757","35,847","1,892","557,224","56,267","6,163","9,530","40,574","71,065","31,354","24,146","15,565","75,382","59,442","13,387","2,553","107,698","101,769","4,818","1,111","242,188","240,752","973","463","4,624"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","740,651","363,937","28,378","41","494","27,843","36,504","1,025","7,961","27,518","46,110","9,194","18,116","18,800","73,502","32,146","27,797","13,559","176,929","142,885","28,576","5,468","2,514","376,714","77,957","23,913","19,201","34,843","69,413","50,407","14,286","4,720","53,863","51,008","2,189","666","66,489","65,539","822","128","100,746","100,629","117","0","8,246"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,650,019","993,671","43,487","101","790","42,596","74,875","2,387","14,882","57,606","106,408","15,146","42,705","48,557","194,279","74,835","84,982","34,462","571,512","448,963","103,286","19,263","3,110","656,348","98,734","18,554","20,885","59,295","111,801","71,008","29,553","11,240","99,097","88,919","8,050","2,128","119,420","116,333","2,743","344","219,348","218,263","838","247","7,948"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","301,456","166,940","7,524","0","68","7,456","12,803","214","1,631","10,958","17,779","1,641","5,422","10,716","34,691","8,236","13,402","13,053","93,423","62,669","24,669","6,085","720","134,516","20,576","3,347","3,925","13,304","22,834","13,489","6,482","2,863","19,477","17,981","1,211","285","25,304","24,648","576","80","45,058","45,025","33","0","1,267"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","511,370","304,241","9,402","0","108","9,294","16,269","318","1,969","13,982","28,512","2,836","10,808","14,868","55,186","14,762","26,664","13,760","194,171","142,685","43,881","7,605","701","207,129","24,036","3,039","4,317","16,680","29,239","13,683","10,042","5,514","28,252","22,869","4,412","971","42,462","39,587","2,435","440","80,490","79,828","528","134","2,650"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","647,518","436,321","20,164","16","123","20,025","27,533","430","1,926","25,177","38,900","1,581","9,035","28,284","82,536","16,890","32,862","32,784","264,551","172,888","74,276","17,387","2,637","211,197","25,577","4,193","5,525","15,859","28,549","17,490","7,249","3,810","28,136","24,825","2,188","1,123","38,931","36,345","2,152","434","86,120","85,387","353","380","3,884"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","384,166","249,449","5,330","0","0","5,330","9,992","0","394","9,598","17,157","410","1,759","14,988","36,427","3,277","9,529","23,621","179,626","103,434","57,108","19,084","917","134,717","12,535","816","957","10,762","17,102","3,384","3,791","9,927","18,895","6,684","7,968","4,243","23,144","16,730","5,133","1,281","61,694","59,943","1,390","361","1,347"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,081,798","1,366,281","33,419","0","0","33,419","56,447","443","864","55,140","73,112","1,130","6,107","65,875","160,005","9,333","34,458","116,214","1,039,508","512,649","353,433","173,426","3,790","715,517","57,871","2,898","2,429","52,544","82,028","8,285","14,217","59,526","68,278","14,739","26,846","26,693","114,588","62,429","38,580","13,579","387,221","363,322","20,840","3,059","5,531"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","540,052","285,674","18,782","25","86","18,671","31,057","732","5,121","25,204","30,413","2,731","11,561","16,121","57,394","16,698","26,915","13,781","145,778","112,019","29,046","4,713","2,250","254,378","49,105","15,461","10,697","22,947","46,771","34,644","9,462","2,665","31,094","28,937","1,643","514","43,367","42,160","1,027","180","79,388","78,984","404","0","4,653"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,985,516","2,374,462","77,630","170","732","76,728","120,616","2,425","8,646","109,545","158,191","13,655","35,613","108,923","321,783","67,395","93,423","160,965","1,687,251","955,510","443,744","287,997","8,991","1,611,054","163,638","18,819","17,266","127,553","192,579","63,135","45,191","84,253","185,291","102,468","42,906","39,917","273,658","197,257","50,982","25,419","777,947","730,775","39,629","7,543","17,941"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,642,709","1,670,406","84,788","398","1,096","83,294","136,725","3,153","21,902","111,670","166,529","18,713","63,423","84,393","308,645","117,039","125,170","66,436","964,769","742,771","180,380","41,618","8,950","972,303","159,159","35,144","40,874","83,141","166,235","114,686","37,266","14,283","144,634","131,799","10,156","2,679","181,143","176,042","4,473","628","308,437","307,726","578","133","12,695"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","198,411","103,355","2,194","0","44","2,150","5,385","81","1,314","3,990","7,130","889","2,072","4,169","17,606","5,217","8,552","3,837","70,742","53,524","14,483","2,735","298","95,056","9,551","1,689","1,634","6,228","12,009","5,976","4,332","1,701","11,257","9,815","1,317","125","18,450","17,774","614","62","43,020","42,979","41","0","769"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,123,733","1,940,200","79,535","114","1,010","78,411","152,005","6,081","27,578","118,346","191,537","31,902","78,204","81,431","373,008","151,195","153,561","68,252","1,137,624","911,927","189,666","36,031","6,491","1,183,533","149,710","23,663","35,372","90,675","197,650","115,436","55,078","27,136","173,687","147,870","21,671","4,146","230,812","221,093","8,326","1,393","418,816","416,734","1,876","206","12,858"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","979,898","533,145","24,510","19","558","23,933","45,017","2,183","8,448","34,386","54,354","7,229","23,313","23,812","102,584","41,074","45,326","16,184","304,651","240,253","53,414","10,984","2,029","446,753","69,061","16,174","17,808","35,079","78,801","52,995","19,418","6,388","67,589","62,204","4,908","477","85,864","83,484","1,881","499","140,596","140,009","425","162","4,842"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,037,125","685,197","26,262","67","143","26,052","42,481","313","2,958","39,210","57,377","4,163","12,238","40,976","114,992","17,750","44,003","53,239","441,498","264,905","138,905","37,688","2,587","351,928","42,858","5,011","6,770","31,077","55,280","23,664","17,416","14,200","48,783","36,827","9,485","2,471","64,188","60,323","3,421","444","137,216","135,533","1,527","156","3,603"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,501,824","2,069,571","88,200","154","690","87,356","133,825","3,719","17,145","112,961","175,211","19,552","53,019","102,640","356,323","106,742","143,662","105,919","1,307,866","937,360","295,848","74,658","8,146","1,432,253","180,503","18,542","34,097","127,864","230,649","101,038","81,430","48,181","205,667","158,816","35,808","11,043","265,831","248,342","14,408","3,081","535,490","531,736","3,255","499","14,113"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","251,146","166,570","5,431","0","37","5,394","8,104","0","346","7,758","12,165","970","1,076","10,119","25,751","2,574","9,489","13,688","114,623","65,500","37,666","11,457","496","84,576","7,221","51","396","6,774","9,693","1,698","3,228","4,767","9,539","4,558","4,077","904","16,852","13,596","2,732","524","40,617","39,911","706","0","654"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,388,492","804,981","44,944","0","221","44,723","66,446","1,532","10,446","54,468","86,896","12,366","33,238","41,292","149,967","57,302","61,775","30,890","451,899","356,123","78,581","17,195","4,829","583,511","99,273","24,246","25,481","49,546","99,054","73,354","17,995","7,705","88,319","82,519","4,613","1,187","108,649","106,677","1,589","383","179,810","179,218","503","89","8,406"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","239,931","133,395","4,317","0","10","4,307","9,576","236","1,501","7,839","12,245","1,487","4,066","6,692","28,515","8,650","12,441","7,424","78,635","58,113","16,758","3,764","107","106,536","12,159","2,002","2,369","7,788","17,291","8,832","6,605","1,854","13,721","11,409","1,877","435","21,369","20,681","613","75","41,344","41,000","325","19","652"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,765,720","1,028,238","54,297","292","1,025","52,980","91,823","2,436","15,912","73,475","104,250","14,123","43,769","46,358","197,509","77,540","81,976","37,993","577,142","446,133","107,671","23,338","3,217","737,482","112,037","27,026","31,100","53,911","127,265","92,800","25,849","8,616","111,288","102,396","6,979","1,913","134,954","132,661","1,890","403","243,906","242,559","1,220","127","8,032"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,179,278","3,464,948","136,581","437","729","135,415","215,949","3,246","18,902","193,801","268,313","19,329","67,017","181,967","557,384","112,736","226,443","218,205","2,274,680","1,485,959","599,686","189,035","12,041","2,714,330","354,488","63,477","70,932","220,079","390,436","213,943","104,138","72,355","345,154","268,853","57,250","19,051","484,246","441,159","32,878","10,209","1,104,596","1,086,997","14,407","3,192","35,410"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","723,288","506,690","16,213","37","289","15,887","25,730","450","1,561","23,719","33,282","1,480","8,193","23,609","92,861","14,441","42,680","35,740","336,817","224,182","88,526","24,109","1,787","216,598","20,644","3,913","4,285","12,446","25,584","17,197","5,928","2,459","24,931","22,274","2,044","613","41,990","40,671","1,088","231","101,811","101,499","283","29","1,638"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","186,252","114,853","4,175","138","189","3,848","7,664","227","716","6,721","10,794","597","2,878","7,319","20,749","4,093","9,436","7,220","70,860","44,257","21,974","4,629","611","71,399","8,432","440","972","7,020","10,842","3,130","3,629","4,083","9,977","5,496","3,460","1,021","14,709","12,507","1,751","451","27,002","26,450","534","18","437"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,110,713","1,429,344","49,179","215","984","47,980","78,699","2,674","9,135","66,890","103,407","9,876","26,411","67,120","201,012","48,652","72,047","80,313","992,123","629,233","275,449","87,441","4,924","681,369","80,977","18,165","19,012","43,800","98,089","60,007","23,316","14,766","85,441","70,505","11,532","3,404","119,966","112,217","6,885","864","290,105","288,158","1,786","161","6,791"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
