"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006M","B25101_006MA","B25101_006EA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008M","B25101_008MA","B25101_008EA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017M","B25101_017MA","B25101_017EA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019M","B25101_019MA","B25101_019EA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025M","B25101_025MA","B25101_025EA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029M","B25101_029MA","B25101_029EA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"0400000US12","Florida","5929801","29626","null","null","3340147","25945","null","null","159301","7150","null","null","341","338","null","null","366","240","null","null","158594","7225","null","null","221241","9283","null","null","2974","976","null","null","11915","1736","null","null","206352","8828","null","null","293893","9485","null","null","13479","1817","null","null","52080","4925","null","null","228334","8291","null","null","523897","11701","null","null","72915","4670","null","null","172034","7713","null","null","278948","9481","null","null","2117391","22415","null","null","1270420","21343","null","null","586186","12244","null","null","260785","8842","null","null","24424","3325","null","null","2589654","22639","null","null","322977","10569","null","null","38452","4102","null","null","43488","3843","null","null","241037","9850","null","null","359525","10275","null","null","147668","null","6425","null","93977","5305","null","null","117880","6539","null","null","317469","8653","null","null","208211","null","6455","null","71874","4849","null","null","37384","3311","null","null","448676","12587","null","null","374098","12743","null","null","51594","3388","null","null","22984","2699","null","null","1087393","17031","null","null","1039584","16607","null","null","31691","2789","null","null","16118","2023","null","null","53614","4244","null","null",
"0400000US13","Georgia","2695885","19845","null","null","1716193","18476","null","null","73998","4538","null","null","266","262","null","null","520","386","null","null","73212","4554","null","null","99405","6253","null","null","1786","727","null","null","8269","1535","null","null","89350","6046","null","null","126958","5786","null","null","8971","1612","null","null","33392","3313","null","null","84595","5215","null","null","249138","9915","null","null","51469","3782","null","null","106759","7022","null","null","90910","5797","null","null","1156442","15684","null","null","813781","13550","null","null","253826","9058","null","null","88835","5299","null","null","10252","1917","null","null","979692","14101","null","null","116393","5411","null","null","17260","2126","null","null","21882","2774","null","null","77251","4431","null","null","121246","5514","null","null","67022","null","3625","null","34749","3334","null","null","19475","2446","null","null","119357","5959","null","null","98401","null","5822","null","16495","2323","null","null","4461","1125","null","null","172462","5694","null","null","164511","5684","null","null","5554","1439","null","null","2397","878","null","null","433723","10582","null","null","427235","10488","null","null","4316","1193","null","null","2172","692","null","null","16511","2060","null","null",
"0400000US15","Hawaii","309687","5486","null","null","194384","6043","null","null","6879","1188","null","null","30","50","null","null","0","187","null","null","6849","1186","null","null","6065","1037","null","null","60","74","null","null","169","152","null","null","5836","996","null","null","10420","1487","null","null","333","243","null","null","614","349","null","null","9473","1500","null","null","22814","2313","null","null","1827","710","null","null","4030","1014","null","null","16957","2109","null","null","145924","5709","null","null","64045","4115","null","null","40677","2847","null","null","41202","3659","null","null","2282","808","null","null","115303","4014","null","null","10032","1650","null","null","1599","611","null","null","956","460","null","null","7477","1370","null","null","9926","1466","null","null","4620","null","1156","null","2162","597","null","null","3144","815","null","null","11983","1706","null","null","6720","null","1233","null","3239","864","null","null","2024","785","null","null","18465","1927","null","null","15267","1664","null","null","2578","948","null","null","620","295","null","null","62363","3250","null","null","60726","3320","null","null","1027","424","null","null","610","378","null","null","2534","981","null","null",
"0400000US16","Idaho","518837","6804","null","null","325585","6323","null","null","14565","2117","null","null","112","150","null","null","54","89","null","null","14399","2112","null","null","19385","1869","null","null","453","268","null","null","1478","532","null","null","17454","1811","null","null","26842","3145","null","null","1762","586","null","null","7459","1404","null","null","17621","2516","null","null","57944","4364","null","null","12931","1801","null","null","22075","2472","null","null","22938","2818","null","null","205596","5315","null","null","141032","4538","null","null","47773","3509","null","null","16791","1841","null","null","1253","530","null","null","193252","5284","null","null","20152","2128","null","null","2969","676","null","null","3690","824","null","null","13493","1724","null","null","25759","2432","null","null","15737","null","1869","null","6779","1339","null","null","3243","893","null","null","23709","2171","null","null","19356","null","2079","null","3165","1000","null","null","1188","630","null","null","38849","2907","null","null","36814","2890","null","null","1589","614","null","null","446","260","null","null","82252","4040","null","null","81163","4069","null","null","562","335","null","null","527","314","null","null","2531","832","null","null",
"0400000US17","Illinois","3392312","20422","null","null","2076167","18620","null","null","81097","5033","null","null","0","206","null","null","165","147","null","null","80932","5016","null","null","107967","6475","null","null","1526","594","null","null","8092","1268","null","null","98349","6243","null","null","142853","6841","null","null","10693","1477","null","null","33324","2697","null","null","98836","5907","null","null","287019","9170","null","null","58380","3994","null","null","92657","5217","null","null","135982","7074","null","null","1446902","15386","null","null","922266","13108","null","null","383332","11840","null","null","141304","6504","null","null","10329","2149","null","null","1316145","14219","null","null","126738","5124","null","null","9927","1779","null","null","12231","1616","null","null","104580","4696","null","null","152686","6770","null","null","45529","null","3469","null","45118","3661","null","null","62039","3888","null","null","145795","5773","null","null","79933","null","4784","null","41484","3333","null","null","24378","2654","null","null","232337","7817","null","null","181241","6530","null","null","36334","3056","null","null","14762","2064","null","null","640867","11884","null","null","614393","11889","null","null","17675","2154","null","null","8799","1785","null","null","17722","2285","null","null",
"0400000US18","Indiana","1929865","16320","null","null","1224947","14094","null","null","51200","3604","null","null","98","152","null","null","692","366","null","null","50410","3511","null","null","78287","4719","null","null","2742","961","null","null","11823","1665","null","null","63722","4178","null","null","112784","4977","null","null","12232","1780","null","null","40985","3268","null","null","59567","3762","null","null","211027","7652","null","null","77060","4452","null","null","85705","4369","null","null","48262","3737","null","null","767289","11234","null","null","622522","11480","null","null","119337","5656","null","null","25430","2888","null","null","4360","1030","null","null","704918","12540","null","null","76108","4039","null","null","8073","1457","null","null","13924","1481","null","null","54111","3742","null","null","103322","5541","null","null","53429","null","4133","null","31361","2648","null","null","18532","2435","null","null","98875","5075","null","null","84219","null","4426","null","12107","1878","null","null","2549","647","null","null","136084","5096","null","null","129447","4668","null","null","4529","1113","null","null","2108","754","null","null","281781","8497","null","null","279075","8312","null","null","1673","653","null","null","1033","394","null","null","8748","1450","null","null",
"0400000US19","Iowa","958700","9767","null","null","569841","8113","null","null","17955","1794","null","null","0","170","null","null","105","114","null","null","17850","1801","null","null","30572","2486","null","null","532","287","null","null","4391","866","null","null","25649","2415","null","null","48689","3615","null","null","3983","764","null","null","16308","2142","null","null","28398","2360","null","null","98160","4473","null","null","28496","2485","null","null","43730","3111","null","null","25934","2528","null","null","372308","6537","null","null","277800","7032","null","null","77087","4021","null","null","17421","1943","null","null","2157","740","null","null","388859","6543","null","null","38199","2584","null","null","2482","615","null","null","5060","866","null","null","30657","2232","null","null","47571","2646","null","null","16923","null","1485","null","17003","1551","null","null","13645","1416","null","null","51715","3311","null","null","37114","null","2867","null","10427","1389","null","null","4174","1159","null","null","76177","3229","null","null","68730","3137","null","null","6091","957","null","null","1356","496","null","null","170779","5573","null","null","168482","5438","null","null","1328","458","null","null","969","505","null","null","4418","917","null","null",
"0400000US20","Kansas","795989","9446","null","null","457161","7814","null","null","16518","2614","null","null","100","153","null","null","0","185","null","null","16418","2600","null","null","25424","2474","null","null","830","382","null","null","2946","735","null","null","21648","2201","null","null","34208","3054","null","null","3525","859","null","null","11358","1819","null","null","19325","2236","null","null","74402","4601","null","null","17049","1918","null","null","29955","2638","null","null","27398","2921","null","null","304862","7074","null","null","216588","7148","null","null","69557","4248","null","null","18717","2155","null","null","1747","635","null","null","338828","6656","null","null","38242","3230","null","null","3639","881","null","null","5129","909","null","null","29474","3002","null","null","44028","3112","null","null","17562","null","2089","null","15721","1764","null","null","10745","1432","null","null","46420","3248","null","null","33960","null","2710","null","9762","1518","null","null","2698","647","null","null","62129","3840","null","null","56079","3564","null","null","4831","870","null","null","1219","472","null","null","143776","5462","null","null","141699","5344","null","null","1650","659","null","null","427","227","null","null","4233","1049","null","null",
"0400000US21","Kentucky","1257737","10799","null","null","713064","10146","null","null","35958","3062","null","null","176","274","null","null","613","440","null","null","35169","3034","null","null","51333","3859","null","null","1689","735","null","null","8119","1273","null","null","41525","3530","null","null","63377","4166","null","null","7408","1380","null","null","20329","2336","null","null","35640","2923","null","null","126057","7050","null","null","42983","3216","null","null","52848","4301","null","null","30226","3061","null","null","432371","9336","null","null","337738","8990","null","null","74527","4659","null","null","20106","2252","null","null","3968","969","null","null","544673","9112","null","null","88233","4934","null","null","15252","2083","null","null","19725","2341","null","null","53256","3269","null","null","87867","4886","null","null","51458","null","3187","null","23878","2684","null","null","12531","1641","null","null","73994","3322","null","null","62788","null","3050","null","8680","1395","null","null","2526","657","null","null","97263","4675","null","null","91958","4419","null","null","4262","895","null","null","1043","410","null","null","186306","5747","null","null","184576","5682","null","null","974","519","null","null","756","333","null","null","11010","1867","null","null",
"0400000US22","Louisiana","1229012","13693","null","null","634635","11756","null","null","41205","4119","null","null","146","144","null","null","239","288","null","null","40820","4147","null","null","45949","3786","null","null","1147","616","null","null","4284","1032","null","null","40518","3468","null","null","52339","4020","null","null","3856","1036","null","null","12531","2039","null","null","35952","3511","null","null","99218","5361","null","null","23178","2695","null","null","41502","3814","null","null","34538","3279","null","null","391873","10512","null","null","280010","9565","null","null","85040","4518","null","null","26823","2832","null","null","4051","1254","null","null","594377","10664","null","null","97973","5568","null","null","21928","2770","null","null","21166","2281","null","null","54879","3988","null","null","101622","6166","null","null","64676","null","4874","null","21857","2470","null","null","15089","2763","null","null","83074","4585","null","null","70177","null","4694","null","8681","1843","null","null","4216","1279","null","null","101098","4917","null","null","95108","4518","null","null","4555","1133","null","null","1435","573","null","null","198837","6923","null","null","194931","6888","null","null","2101","840","null","null","1805","714","null","null","11773","1956","null","null",
"0400000US23","Maine","448772","6470","null","null","263969","6854","null","null","11526","1482","null","null","9","14","null","null","80","113","null","null","11437","1477","null","null","17994","2179","null","null","270","126","null","null","1406","662","null","null","16318","2093","null","null","24884","2722","null","null","1731","562","null","null","4639","836","null","null","18514","2503","null","null","41356","3314","null","null","8323","1516","null","null","15628","2133","null","null","17405","1946","null","null","167134","6019","null","null","109551","5200","null","null","43585","3890","null","null","13998","1779","null","null","1075","436","null","null","184803","4656","null","null","20358","1964","null","null","1996","699","null","null","3634","757","null","null","14728","1618","null","null","24993","2171","null","null","9573","null","1332","null","7105","974","null","null","8315","1274","null","null","23666","2151","null","null","15054","null","1576","null","6371","1123","null","null","2241","643","null","null","37835","2795","null","null","31830","2519","null","null","5157","948","null","null","848","478","null","null","75559","3870","null","null","73446","3759","null","null","1855","668","null","null","258","183","null","null","2392","649","null","null",
"0400000US24","Maryland","1609588","14592","null","null","1144228","12816","null","null","36261","3414","null","null","123","194","null","null","324","349","null","null","35814","3414","null","null","49766","4479","null","null","1288","1112","null","null","2211","855","null","null","46267","4201","null","null","56957","3649","null","null","1093","430","null","null","5293","1052","null","null","50571","3578","null","null","118393","6456","null","null","12353","1856","null","null","32211","3419","null","null","73829","4588","null","null","876204","11424","null","null","545137","11113","null","null","237283","7780","null","null","93784","5539","null","null","6647","1327","null","null","465360","9115","null","null","42916","3470","null","null","2366","788","null","null","3928","1003","null","null","36622","3359","null","null","46604","3450","null","null","12436","null","1641","null","14171","1785","null","null","19997","2793","null","null","39824","2992","null","null","23440","null","2095","null","10719","1656","null","null","5665","1412","null","null","66594","4095","null","null","55999","3657","null","null","8272","1519","null","null","2323","779","null","null","261695","6592","null","null","255531","6434","null","null","3495","812","null","null","2669","938","null","null","7727","1457","null","null",
