"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US18105","Monroe County, Indiana","8114","2552","null","null","35711","5094","null","null","66226","5101","null","null","105812","6217","null","null","226571","22943","null","null","389934","72163","null","null",
"0500000US18109","Morgan County, Indiana","18032","3891","null","null","45765","4423","null","null","75364","6287","null","null","111857","7121","null","null","215792","30367","null","null","366919","104007","null","null",
"0500000US18127","Porter County, Indiana","19378","2702","null","null","50364","3478","null","null","81594","4186","null","null","115834","5489","null","null","221440","13611","null","null","344732","39182","null","null",
"0500000US18141","St. Joseph County, Indiana","15687","1483","null","null","38197","1851","null","null","60819","2559","null","null","96947","4002","null","null","199975","11675","null","null","340285","38426","null","null",
"0500000US18157","Tippecanoe County, Indiana","10136","2150","null","null","33386","2077","null","null","55168","3347","null","null","87156","4394","null","null","185904","17501","null","null","318564","54827","null","null",
"0500000US18163","Vanderburgh County, Indiana","11921","1902","null","null","34974","2790","null","null","57331","3192","null","null","88108","4965","null","null","193014","27393","null","null","351104","97073","null","null",
"0500000US18167","Vigo County, Indiana","8476","1679","null","null","27390","3229","null","null","50814","5055","null","null","80856","5501","null","null","162857","15462","null","null","270848","42763","null","null",
"0500000US18173","Warrick County, Indiana","22712","4647","null","null","54342","7236","null","null","84973","8473","null","null","129634","9660","null","null","291429","52834","null","null","580577","151771","null","null",
"0500000US18177","Wayne County, Indiana","11725","2275","null","null","31222","3071","null","null","49979","4930","null","null","81349","6901","null","null","159657","16948","null","null","251654","36026","null","null",
"0500000US19013","Black Hawk County, Iowa","14673","1947","null","null","36868","3127","null","null","60268","3856","null","null","93179","6369","null","null","194038","15798","null","null","321273","42856","null","null",
