"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US05085","Lonoke County, Arkansas","13781","null","2392","null","32756","null","3804","null","54443","5110","null","null","85746","8089","null","null","166855","18150","null","null","259563","50026","null","null",
"0500000US05119","Pulaski County, Arkansas","11529","null","1045","null","30604","null","1554","null","50210","2108","null","null","85170","3652","null","null","217237","15934","null","null","418175","50455","null","null",
"0500000US05125","Saline County, Arkansas","16032","null","2724","null","40406","null","3076","null","62954","5100","null","null","94193","5915","null","null","170979","17455","null","null","279747","60925","null","null",
"0500000US05131","Sebastian County, Arkansas","12570","null","1540","null","28604","null","2342","null","46348","3198","null","null","73886","5426","null","null","167241","21714","null","null","300480","71740","null","null",
"0500000US05143","Washington County, Arkansas","10916","null","1443","null","31132","null","1939","null","50314","2512","null","null","78255","3870","null","null","193354","19308","null","null","368640","60529","null","null",
"0500000US05145","White County, Arkansas","10241","null","2268","null","24943","null","3182","null","43086","4108","null","null","68919","6551","null","null","166475","27152","null","null","297462","81405","null","null",
"0500000US06001","Alameda County, California","20041","null","780","null","58993","null","1274","null","103038","2173","null","null","162508","2764","null","null","327303","8454","null","null","539883","27950","null","null",
"0500000US06007","Butte County, California","11455","null","1061","null","29212","null","1821","null","52582","2933","null","null","86557","4187","null","null","184936","14434","null","null","314054","44210","null","null",
"0500000US06013","Contra Costa County, California","22513","null","1131","null","61450","null","1910","null","101896","2309","null","null","158300","3910","null","null","343945","12724","null","null","586116","35420","null","null",
"0500000US06017","El Dorado County, California","18094","null","2326","null","50812","null","4759","null","83910","4929","null","null","127081","7180","null","null","264117","19513","null","null","427792","58393","null","null",
"0500000US06019","Fresno County, California","11976","null","707","null","30945","null","1108","null","53111","1746","null","null","85515","2252","null","null","181046","6982","null","null","305452","21727","null","null",
"0500000US06023","Humboldt County, California","11713","null","1577","null","28520","null","2750","null","49774","4099","null","null","76377","4706","null","null","156363","17282","null","null","273999","56708","null","null",
"0500000US06025","Imperial County, California","9093","null","1869","null","26102","null","3959","null","48892","4344","null","null","78591","5343","null","null","140751","12647","null","null","222519","36074","null","null",
"0500000US06029","Kern County, California","11048","null","748","null","30134","null","1507","null","52079","2227","null","null","83940","2938","null","null","180003","7878","null","null","304783","25843","null","null",
"0500000US06031","Kings County, California","14303","null","2834","null","39133","null","4179","null","62238","4639","null","null","89643","7012","null","null","164833","9382","null","null","236695","18258","null","null",
"0500000US06033","Lake County, California","11858","null","2467","null","29823","null","3835","null","48151","5579","null","null","78465","8129","null","null","187555","29246","null","null","334285","86486","null","null",
"0500000US06037","Los Angeles County, California","13649","null","279","null","39268","null","451","null","68514","592","null","null","109728","956","null","null","263726","3903","null","null","492294","11925","null","null",
"0500000US06039","Madera County, California","14616","null","2628","null","35949","null","3217","null","56484","4938","null","null","84148","6327","null","null","167890","16699","null","null","264521","36081","null","null",
"0500000US06041","Marin County, California","25405","null","3047","null","71346","null","5256","null","124716","6798","null","null","195834","10831","null","null","447233","27655","null","null","771583","64675","null","null",
"0500000US06045","Mendocino County, California","12694","null","2076","null","30965","null","3792","null","51291","4805","null","null","77897","6814","null","null","160607","17783","null","null","260424","48044","null","null",
"0500000US06047","Merced County, California","12864","null","1504","null","33647","null","2204","null","57413","3430","null","null","86739","3703","null","null","192904","22156","null","null","363005","76252","null","null",
