"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","77,708,394","48,126,102","2,190,750","6,447","28,024","2,156,279","3,424,865","80,639","416,772","2,927,454","4,347,810","435,730","1,314,965","2,597,115","8,211,012","2,232,866","3,150,582","2,827,564","29,720,888","19,400,813","7,559,906","2,760,169","230,777","29,582,292","4,235,078","695,466","839,666","2,699,946","4,810,436","2,558,356","1,262,394","989,686","4,163,983","3,277,274","635,541","251,168","5,259,278","4,805,298","346,909","107,071","10,702,630","10,502,363","168,346","31,921","410,887"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,262,257","694,367","50,056","676","828","48,552","66,277","2,613","12,218","51,446","74,279","11,466","31,080","31,733","134,010","57,255","56,029","20,726","365,000","300,298","54,116","10,586","4,745","567,890","108,819","25,456","30,131","53,232","107,620","79,283","21,232","7,105","83,331","79,909","3,227","195","100,075","98,649","1,255","171","156,525","156,227","124","174","11,520"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","167,108","102,706","3,934","0","52","3,882","5,033","461","269","4,303","5,758","413","725","4,620","16,524","1,710","5,965","8,849","71,295","42,289","21,337","7,669","162","64,402","8,715","2,076","888","5,751","8,139","4,062","2,459","1,618","7,544","5,710","1,480","354","10,554","9,824","674","56","28,831","28,733","98","0","619"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,694,367","1,072,502","55,117","453","919","53,745","86,255","2,100","9,258","74,897","111,112","10,992","37,450","62,670","204,448","52,480","88,951","63,017","609,677","434,291","142,235","33,151","5,893","621,865","98,931","22,793","20,553","55,585","107,110","71,662","24,376","11,072","88,100","77,598","8,887","1,615","117,205","114,266","2,639","300","197,108","196,582","526","0","13,411"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","760,401","410,135","27,772","108","1,139","26,525","46,031","2,614","10,590","32,827","51,783","9,766","22,589","19,428","81,975","44,746","27,740","9,489","200,588","171,833","23,768","4,987","1,986","350,266","62,677","16,845","15,254","30,578","70,109","52,511","13,717","3,881","56,947","53,476","2,541","930","64,385","63,169","883","333","90,896","90,742","154","0","5,252"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
