"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0500000US06013","Contra Costa County, California","0.4639","null","0.0083","null",
"0500000US06017","El Dorado County, California","0.4488","null","0.0223","null",
"0500000US06019","Fresno County, California","0.4668","null","0.0115","null",
"0500000US06023","Humboldt County, California","0.4527","null","0.0279","null",
"0500000US06025","Imperial County, California","0.4448","null","0.0273","null",
"0500000US06029","Kern County, California","0.4725","null","0.0117","null",
"0500000US06031","Kings County, California","0.4043","null","0.0230","null",
"0500000US06033","Lake County, California","0.4870","null","0.0387","null",
"0500000US06037","Los Angeles County, California","0.5016","null","0.0035","null",
"0500000US06039","Madera County, California","0.4235","null","0.0243","null",
"0500000US06041","Marin County, California","0.4837","null","0.0144","null",
"0500000US06045","Mendocino County, California","0.4418","null","0.0291","null",
"0500000US06047","Merced County, California","0.4696","null","0.0297","null",
"0500000US06053","Monterey County, California","0.4687","null","0.0167","null",
"0500000US06055","Napa County, California","0.4454","null","0.0212","null",
"0500000US06057","Nevada County, California","0.4501","null","0.0256","null",
"0500000US06059","Orange County, California","0.4731","null","0.0061","null",
"0500000US06061","Placer County, California","0.4458","null","0.0131","null",
"0500000US06065","Riverside County, California","0.4687","null","0.0104","null",
"0500000US06067","Sacramento County, California","0.4492","null","0.0084","null",
"0500000US06071","San Bernardino County, California","0.4394","null","0.0086","null",
"0500000US06073","San Diego County, California","0.4631","null","0.0050","null",
"0500000US06075","San Francisco County, California","0.5227","null","0.0100","null",
"0500000US06077","San Joaquin County, California","0.4483","null","0.0114","null",
"0500000US06079","San Luis Obispo County, California","0.4582","null","0.0170","null",
"0500000US06081","San Mateo County, California","0.4846","null","0.0095","null",
"0500000US06083","Santa Barbara County, California","0.4881","null","0.0168","null",
"0500000US06085","Santa Clara County, California","0.4751","null","0.0071","null",
"0500000US06087","Santa Cruz County, California","0.4797","null","0.0184","null",
"0500000US06089","Shasta County, California","0.4394","null","0.0182","null",
"0500000US06095","Solano County, California","0.4011","null","0.0120","null",
"0500000US06097","Sonoma County, California","0.4589","null","0.0144","null",
"0500000US06099","Stanislaus County, California","0.4438","null","0.0138","null",
"0500000US06101","Sutter County, California","0.4628","null","0.0571","null",
"0500000US06107","Tulare County, California","0.5055","null","0.0236","null",
"0500000US06111","Ventura County, California","0.4458","null","0.0113","null",
"0500000US06113","Yolo County, California","0.4900","null","0.0227","null",
"0500000US06115","Yuba County, California","0.4131","null","0.0253","null",
"0500000US08001","Adams County, Colorado","0.4161","null","0.0211","null",
"0500000US08005","Arapahoe County, Colorado","0.4584","null","0.0122","null",
"0500000US08013","Boulder County, Colorado","0.4779","null","0.0147","null",
"0500000US08014","Broomfield County, Colorado","0.4262","null","0.0327","null",
"0500000US08031","Denver County, Colorado","0.4920","null","0.0110","null",
"0500000US08035","Douglas County, Colorado","0.3947","null","0.0147","null",
"0500000US08041","El Paso County, Colorado","0.4374","null","0.0124","null",
"0500000US08059","Jefferson County, Colorado","0.4222","null","0.0098","null",
"0500000US08069","Larimer County, Colorado","0.4396","null","0.0167","null",
"0500000US08077","Mesa County, Colorado","0.4523","null","0.0237","null",
"0500000US08101","Pueblo County, Colorado","0.4509","null","0.0247","null",
"0500000US08123","Weld County, Colorado","0.4045","null","0.0130","null",
"0500000US09001","Fairfield County, Connecticut","0.5460","null","0.0099","null",
"0500000US09003","Hartford County, Connecticut","0.4874","null","0.0101","null",
"0500000US09005","Litchfield County, Connecticut","0.4639","null","0.0220","null",
"0500000US09007","Middlesex County, Connecticut","0.4349","null","0.0208","null",
"0500000US09009","New Haven County, Connecticut","0.4785","null","0.0105","null",
"0500000US09011","New London County, Connecticut","0.4291","null","0.0139","null",
"0500000US09013","Tolland County, Connecticut","0.4206","null","0.0221","null",
"0500000US09015","Windham County, Connecticut","0.4233","null","0.0316","null",
"0500000US10001","Kent County, Delaware","0.4356","null","0.0221","null",
"0500000US10003","New Castle County, Delaware","0.4646","null","0.0152","null",
"0500000US10005","Sussex County, Delaware","0.4459","null","0.0193","null",
"0500000US11001","District of Columbia, District of Columbia","0.5243","null","0.0096","null",
"0500000US12001","Alachua County, Florida","0.5167","null","0.0172","null",
"0500000US12005","Bay County, Florida","0.4339","null","0.0303","null",
"0500000US12009","Brevard County, Florida","0.4387","null","0.0117","null",
"0500000US12011","Broward County, Florida","0.4945","null","0.0110","null",
"0500000US12015","Charlotte County, Florida","0.4435","null","0.0192","null",
"0500000US12017","Citrus County, Florida","0.4870","null","0.0566","null",
"0500000US12019","Clay County, Florida","0.4223","null","0.0321","null",
"0500000US12021","Collier County, Florida","0.5277","null","0.0213","null",
"0500000US12023","Columbia County, Florida","0.4793","null","0.0586","null",
"0500000US12031","Duval County, Florida","0.4882","null","0.0162","null",
"0500000US12033","Escambia County, Florida","0.4565","null","0.0176","null",
