"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US47141","Putnam County, Tennessee","8073","null","2446","null","23601","null","3222","null","39618","3777","null","null","66762","6482","null","null","144302","null","18798","null","233722","null","51926","null",
"0500000US47147","Robertson County, Tennessee","17425","null","2545","null","39306","null","4021","null","60198","4103","null","null","88542","6861","null","null","176227","null","23342","null","313107","null","76756","null",
"0500000US47149","Rutherford County, Tennessee","18154","null","1953","null","44417","null","2597","null","68729","2635","null","null","96183","3497","null","null","194432","null","14357","null","349576","null","48448","null",
"0500000US47155","Sevier County, Tennessee","14864","null","2110","null","33120","null","3003","null","49210","3800","null","null","66832","4638","null","null","143334","null","30225","null","268088","null","109084","null",
"0500000US47157","Shelby County, Tennessee","9784","null","784","null","28780","null","1324","null","49809","1628","null","null","79824","2331","null","null","204291","null","9951","null","388271","null","33461","null",
"0500000US47163","Sullivan County, Tennessee","10837","null","992","null","26578","null","1710","null","44725","2638","null","null","71635","3746","null","null","179252","null","21789","null","349236","null","76115","null",
"0500000US47165","Sumner County, Tennessee","17711","null","1987","null","43211","null","2638","null","64983","3082","null","null","95044","5624","null","null","221647","null","29141","null","419097","null","106605","null",
"0500000US47179","Washington County, Tennessee","10780","null","1445","null","25075","null","2264","null","41742","3789","null","null","73278","6682","null","null","171380","null","16541","null","318791","null","47995","null",
"0500000US47187","Williamson County, Tennessee","29894","null","2766","null","69234","null","4799","null","107607","5473","null","null","158193","7768","null","null","334445","null","21075","null","558165","null","54866","null",
"0500000US47189","Wilson County, Tennessee","18969","null","2501","null","45090","null","3855","null","69953","4126","null","null","104154","6114","null","null","186235","null","13757","null","280395","null","34625","null",
"0500000US48005","Angelina County, Texas","9903","null","1950","null","24526","null","2705","null","45695","4831","null","null","75353","5695","null","null","144570","null","15677","null","229811","null","40685","null",
"0500000US48021","Bastrop County, Texas","19613","null","5088","null","47079","null","5295","null","71577","6603","null","null","101782","9220","null","null","171488","null","14929","null","231016","null","23762","null",
"0500000US48027","Bell County, Texas","13519","null","1394","null","34017","null","2049","null","53722","2867","null","null","79469","3562","null","null","150357","null","9821","null","234655","null","29022","null",
"0500000US48029","Bexar County, Texas","11769","null","532","null","32198","null","854","null","54489","1181","null","null","85787","1799","null","null","186286","null","5826","null","327760","null","18611","null",
"0500000US48037","Bowie County, Texas","9860","null","2384","null","26790","null","4105","null","50874","6233","null","null","82289","7490","null","null","176451","null","39076","null","329033","null","138903","null",
"0500000US48039","Brazoria County, Texas","17611","null","2250","null","49819","null","3821","null","83045","4774","null","null","121354","4858","null","null","221980","null","17201","null","356939","null","56158","null",
"0500000US48041","Brazos County, Texas","7065","null","1236","null","23576","null","2520","null","45320","3315","null","null","78115","3943","null","null","172711","null","16622","null","304892","null","52726","null",
"0500000US48061","Cameron County, Texas","7436","null","860","null","20578","null","1357","null","37373","2574","null","null","64619","3392","null","null","131481","null","9999","null","215837","null","32217","null",
"0500000US48085","Collin County, Texas","23580","null","1387","null","59480","null","2034","null","94787","2234","null","null","139457","3272","null","null","284628","null","11251","null","493664","null","36488","null",
"0500000US48091","Comal County, Texas","19310","null","2935","null","46501","null","2842","null","72145","4803","null","null","114503","6255","null","null","231029","null","16717","null","354784","null","39723","null",
"0500000US48099","Coryell County, Texas","17720","null","2388","null","35506","null","4143","null","52991","3842","null","null","76145","7176","null","null","164364","null","46478","null","321564","null","176195","null",
"0500000US48113","Dallas County, Texas","13690","null","481","null","35266","null","757","null","57333","1034","null","null","88689","1305","null","null","222096","null","5880","null","428588","null","19462","null",
"0500000US48121","Denton County, Texas","22509","null","1265","null","52825","null","1507","null","85895","2132","null","null","127740","2751","null","null","250660","null","10912","null","412387","null","36983","null",
