"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","76,684,018","48,168,243","2,265,996","6,452","27,889","2,231,655","3,566,056","98,041","488,267","2,979,748","4,566,280","517,268","1,435,635","2,613,377","8,544,492","2,482,433","3,302,903","2,759,156","28,971,151","19,079,779","7,298,937","2,592,435","254,268","28,515,775","4,260,127","798,210","886,664","2,575,253","4,817,027","2,735,146","1,212,108","869,773","4,062,314","3,282,496","561,570","218,248","5,121,337","4,718,826","308,256","94,255","9,837,313","9,667,597","141,163","28,553","417,657"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,253,199","706,185","49,593","166","1,205","48,222","70,885","3,275","14,961","52,649","83,271","17,417","34,314","31,540","146,556","68,259","57,127","21,170","351,221","291,491","50,772","8,958","4,659","547,014","108,857","32,154","30,017","46,686","106,948","85,102","17,968","3,878","82,109","78,377","2,989","743","99,352","97,930","1,210","212","140,388","140,300","39","49","9,360"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","159,344","102,297","3,230","49","19","3,162","5,215","117","569","4,529","7,240","455","1,055","5,730","15,288","1,308","5,151","8,829","70,937","41,982","21,384","7,571","387","57,047","7,284","1,647","941","4,696","7,688","3,282","1,795","2,611","6,700","4,354","2,200","146","11,510","10,531","913","66","23,330","23,240","90","0","535"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,652,321","1,064,351","57,900","34","822","57,044","98,268","2,998","13,186","82,084","120,361","11,397","40,833","68,131","202,392","56,564","90,875","54,953","575,752","415,007","125,937","34,808","9,678","587,970","97,024","25,821","21,527","49,676","98,263","65,954","20,247","12,062","83,807","75,195","6,898","1,714","107,451","104,061","2,781","609","188,904","188,160","679","65","12,521"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","752,399","416,168","30,627","67","1,194","29,366","42,918","2,837","11,263","28,818","53,837","13,979","23,838","16,020","89,343","46,612","33,885","8,846","196,544","169,806","22,110","4,628","2,899","336,231","66,156","19,992","19,834","26,330","69,368","56,284","10,585","2,499","55,543","52,808","2,332","403","61,484","60,933","465","86","79,881","79,818","63","0","3,799"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,125,090","5,026,144","200,343","207","1,023","199,113","292,711","3,013","11,892","277,806","363,068","12,360","45,657","305,051","691,382","67,065","175,801","448,516","3,451,005","1,598,411","1,163,396","689,198","27,635","2,098,946","273,109","36,721","41,473","194,915","300,624","125,477","84,483","90,664","250,751","174,307","52,062","24,382","340,414","293,667","35,358","11,389","902,255","880,311","17,721","4,223","31,793"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,394,824","994,409","40,589","27","158","40,404","56,344","1,670","4,835","49,839","86,161","6,200","19,940","60,021","162,877","30,045","65,823","67,009","643,153","412,161","179,076","51,916","5,285","400,415","51,518","7,736","10,651","33,131","59,551","34,680","15,758","9,113","55,332","47,907","6,468","957","72,309","70,178","1,743","388","155,728","154,599","1,008","121","5,977"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","898,234","611,242","17,366","0","0","17,366","30,179","120","833","29,226","43,134","740","4,001","38,393","88,146","7,668","29,565","50,913","430,171","239,387","138,311","52,473","2,246","286,992","26,358","289","1,427","24,642","34,651","3,519","9,290","21,842","35,273","11,474","16,019","7,780","51,720","37,820","10,573","3,327","136,071","130,842","4,291","938","2,919"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","253,948","164,071","8,529","0","7","8,522","11,443","171","912","10,360","14,719","1,189","2,880","10,650","30,461","5,916","13,728","10,817","96,363","67,089","24,448","4,826","2,556","89,877","13,323","1,569","2,759","8,995","13,883","8,051","3,321","2,511","12,822","11,172","1,168","482","15,940","15,455","341","144","31,877","31,779","98","0","2,032"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","118,805","90,270","3,645","0","0","3,645","3,934","52","0","3,882","2,923","127","367","2,429","9,562","1,687","2,171","5,704","69,595","40,142","21,127","8,326","611","28,535","2,634","435","373","1,826","2,591","726","940","925","2,286","1,605","564","117","3,906","3,414","453","39","16,938","16,443","470","25","180"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,010,187","2,850,011","188,602","661","1,858","186,083","277,172","6,746","32,626","237,800","343,625","31,021","105,087","207,517","551,073","148,973","221,805","180,295","1,463,461","971,980","372,534","118,947","26,078","2,160,176","364,955","70,517","66,687","227,751","389,240","218,849","95,051","75,340","324,386","256,708","49,311","18,367","373,417","342,844","22,662","7,911","666,902","650,632","12,107","4,163","41,276"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,354,922","1,529,558","87,686","262","710","86,714","130,023","2,721","15,823","111,479","155,557","20,689","54,225","80,643","284,625","88,606","130,844","65,175","860,897","657,472","164,355","39,070","10,770","825,364","137,062","31,029","35,245","70,788","142,283","97,404","32,095","12,784","117,465","106,899","8,585","1,981","149,147","145,498","2,906","743","263,051","261,968","894","189","16,356"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","268,078","172,214","5,934","0","6","5,928","7,313","71","537","6,705","11,534","258","994","10,282","22,778","2,488","5,281","15,009","123,481","55,724","38,912","28,845","1,174","95,864","11,836","2,321","1,927","7,588","10,902","5,387","2,727","2,788","12,287","9,158","2,401","728","15,745","14,177","1,469","99","43,291","42,349","842","100","1,803"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","435,493","280,297","14,423","109","291","14,023","27,049","703","3,816","22,530","38,478","5,037","15,850","17,591","66,691","23,072","28,856","14,763","130,999","97,456","29,776","3,767","2,657","155,196","22,884","5,195","5,457","12,232","31,184","23,099","5,364","2,721","23,920","21,713","2,005","202","30,153","29,877","276","0","44,830","44,648","182","0","2,225"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
