"GEO_ID","NAME","B25101_001E","B25101_001M","B25101_001MA","B25101_001EA","B25101_002E","B25101_002M","B25101_002MA","B25101_002EA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007M","B25101_007MA","B25101_007EA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009EA","B25101_009M","B25101_009MA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023EA","B25101_023M","B25101_023MA","B25101_024E","B25101_024EA","B25101_024M","B25101_024MA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041M","B25101_041MA","B25101_041EA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"0500000US18067","Howard County, Indiana","24474","1511","null","null","15162","1480","null","null","1574","611","null","null","0","197","null","null","114","182","null","null","1460","null","597","null","1725","556","null","null","136","null","170","null","600","null","369","null","989","413","null","null","1671","487","null","null","825","null","352","null","637","null","290","null","209","null","177","null","3808","null","870","null","2880","767","null","null","876","null","409","null","52","null","84","null","6384","null","1094","null","6051","null","1026","null","333","260","null","null","0","197","null","null","0","null","197","null","9312","null","1204","null","1468","null","574","null","547","303","null","null","451","344","null","null","470","null","284","null","2123","null","780","null","1965","null","745","null","158","134","null","null","0","197","null","null","1574","609","null","null","1471","null","605","null","103","null","115","null","0","197","null","null","1588","530","null","null","1588","530","null","null","0","null","197","null","0","197","null","null","2441","669","null","null","2441","null","669","null","0","197","null","null","0","197","null","null","118","null","146","null",
"0500000US18081","Johnson County, Indiana","42113","2308","null","null","30771","2022","null","null","1526","654","null","null","0","197","null","null","0","197","null","null","1526","null","654","null","1045","457","null","null","80","null","98","null","14","null","22","null","951","462","null","null","1919","746","null","null","39","null","64","null","715","null","466","null","1165","null","672","null","5569","null","1317","null","2303","810","null","null","2812","null","1049","null","454","null","332","null","20520","null","1711","null","18170","null","1708","null","1905","743","null","null","445","309","null","null","192","null","199","null","11342","null","1365","null","1628","null","624","null","84","101","null","null","669","476","null","null","875","null","486","null","1705","null","670","null","877","null","464","null","541","388","null","null","287","341","null","null","1910","735","null","null","1517","null","630","null","262","null","271","null","131","216","null","null","2548","840","null","null","2442","835","null","null","106","null","131","null","0","197","null","null","3464","768","null","null","3464","null","768","null","0","197","null","null","0","197","null","null","87","null","151","null",
"0500000US18085","Kosciusko County, Indiana","22737","1313","null","null","14718","1378","null","null","734","331","null","null","0","197","null","null","17","28","null","null","717","null","330","null","1235","478","null","null","177","null","207","null","277","null","205","null","781","376","null","null","1728","627","null","null","225","null","179","null","946","null","478","null","557","null","405","null","3095","null","863","null","1855","743","null","null","1002","null","453","null","238","null","216","null","7880","null","965","null","6499","null","919","null","1045","482","null","null","336","231","null","null","46","null","76","null","8019","null","1197","null","1126","null","439","null","289","258","null","null","350","311","null","null","487","null","304","null","1201","null","437","null","1051","null","439","null","100","112","null","null","50","59","null","null","1423","492","null","null","1233","null","478","null","190","null","149","null","0","197","null","null","1098","391","null","null","1052","383","null","null","46","null","76","null","0","197","null","null","3153","799","null","null","3153","null","799","null","0","197","null","null","0","197","null","null","18","null","23","null",
"0500000US18089","Lake County, Indiana","130327","3151","null","null","85057","3000","null","null","5623","1098","null","null","0","197","null","null","151","133","null","null","5472","null","1108","null","8089","1634","null","null","64","null","79","null","1482","null","626","null","6543","1533","null","null","9819","1425","null","null","1919","null","696","null","3491","null","805","null","4409","null","988","null","17603","null","2222","null","7938","1578","null","null","6751","null","1301","null","2914","null","1024","null","43624","null","2604","null","34595","null","2544","null","7762","1458","null","null","1267","657","null","null","299","null","285","null","45270","null","2803","null","6867","null","1296","null","684","326","null","null","1381","523","null","null","4802","null","1158","null","7297","null","1209","null","4079","null","848","null","2491","815","null","null","727","334","null","null","6392","1113","null","null","5387","null","1034","null","968","null","477","null","37","65","null","null","8957","1272","null","null","8765","1266","null","null","149","null","177","null","43","72","null","null","15253","1630","null","null","15253","null","1630","null","0","197","null","null","0","197","null","null","504","null","263","null",
"0500000US18091","LaPorte County, Indiana","30287","1562","null","null","18707","1560","null","null","1099","423","null","null","0","197","null","null","24","42","null","null","1075","null","418","null","1873","626","null","null","75","null","76","null","588","null","323","null","1210","496","null","null","2246","806","null","null","580","null","377","null","1075","null","588","null","591","null","411","null","5167","null","872","null","3063","745","null","null","1852","null","467","null","252","null","208","null","7886","null","1162","null","6890","null","1105","null","876","497","null","null","120","112","null","null","436","null","305","null","11580","null","1392","null","2009","null","635","null","426","231","null","null","370","303","null","null","1213","null","535","null","2202","null","721","null","1657","null","596","null","361","237","null","null","184","162","null","null","1566","625","null","null","1222","null","507","null","344","null","334","null","0","197","null","null","2471","632","null","null","2471","632","null","null","0","null","197","null","0","197","null","null","3203","725","null","null","3190","null","720","null","13","25","null","null","0","197","null","null","129","null","125","null",
"0500000US18095","Madison County, Indiana","34831","1831","null","null","22144","1751","null","null","1053","473","null","null","0","197","null","null","64","83","null","null","989","null","470","null","2994","905","null","null","138","null","165","null","678","null","353","null","2178","762","null","null","2884","715","null","null","832","null","325","null","1342","null","436","null","710","null","402","null","4597","null","1022","null","2582","764","null","null","1639","null","578","null","376","null","304","null","10575","null","1208","null","9907","null","1172","null","576","315","null","null","92","108","null","null","41","null","67","null","12687","null","1160","null","2842","null","725","null","642","321","null","null","997","449","null","null","1203","null","515","null","3285","null","733","null","2225","null","543","null","731","348","null","null","329","307","null","null","1606","463","null","null","1531","null","451","null","59","null","68","null","16","20","null","null","2125","540","null","null","2038","510","null","null","43","null","67","null","44","76","null","null","2497","709","null","null","2497","null","709","null","0","197","null","null","0","197","null","null","332","null","354","null",
"0500000US18097","Marion County, Indiana","200005","4901","null","null","137699","4552","null","null","7083","1143","null","null","0","197","null","null","28","46","null","null","7055","null","1147","null","13785","1777","null","null","291","null","250","null","1799","null","799","null","11695","1703","null","null","17696","2239","null","null","3123","null","833","null","7542","null","1352","null","7031","null","1329","null","27877","null","2475","null","11259","1509","null","null","13260","null","1853","null","3358","null","780","null","70444","null","3767","null","61730","null","3620","null","7559","1246","null","null","1155","548","null","null","814","null","573","null","62306","null","3124","null","11243","null","1975","null","1188","468","null","null","3433","910","null","null","6622","null","1497","null","10146","null","1549","null","6679","null","1257","null","2501","820","null","null","966","491","null","null","10434","1455","null","null","9498","null","1377","null","867","null","445","null","69","84","null","null","9907","1385","null","null","9816","1387","null","null","91","null","108","null","0","197","null","null","19499","1874","null","null","19499","null","1874","null","0","197","null","null","0","197","null","null","1077","null","501","null",
"0500000US18105","Monroe County, Indiana","30585","1573","null","null","19717","1338","null","null","712","363","null","null","0","197","null","null","0","197","null","null","712","null","363","null","1548","667","null","null","115","null","155","null","358","null","278","null","1075","595","null","null","2368","674","null","null","771","null","456","null","890","null","399","null","707","null","469","null","3665","null","957","null","1908","639","null","null","1179","null","532","null","578","null","542","null","11378","null","1512","null","9353","null","1441","null","1611","534","null","null","414","441","null","null","46","null","76","null","10868","null","1308","null","1265","null","559","null","93","108","null","null","0","197","null","null","1172","null","537","null","1284","null","501","null","893","null","404","null","187","191","null","null","204","209","null","null","1797","626","null","null","1674","null","627","null","123","null","150","null","0","197","null","null","1953","651","null","null","1953","651","null","null","0","null","197","null","0","197","null","null","4438","880","null","null","4438","null","880","null","0","197","null","null","0","197","null","null","131","null","157","null",
"0500000US18109","Morgan County, Indiana","19554","1309","null","null","13228","1301","null","null","741","422","null","null","0","197","null","null","0","197","null","null","741","null","422","null","1464","526","null","null","0","null","197","null","212","null","153","null","1252","511","null","null","1411","456","null","null","215","null","249","null","564","null","279","null","632","null","376","null","3372","null","1067","null","1112","507","null","null","1556","null","805","null","704","null","513","null","6212","null","905","null","4880","null","953","null","1297","633","null","null","35","62","null","null","28","null","51","null","6326","null","849","null","934","null","419","null","521","339","null","null","121","170","null","null","292","null","256","null","980","null","428","null","781","null","373","null","137","153","null","null","62","91","null","null","1235","494","null","null","1164","null","486","null","71","null","121","null","0","197","null","null","1151","482","null","null","1151","482","null","null","0","null","197","null","0","197","null","null","2026","642","null","null","2026","null","642","null","0","197","null","null","0","197","null","null","0","null","197","null",
"0500000US18127","Porter County, Indiana","45286","1975","null","null","30932","2010","null","null","1082","516","null","null","0","197","null","null","0","197","null","null","1082","null","516","null","1815","704","null","null","0","null","197","null","187","null","203","null","1628","689","null","null","1945","649","null","null","81","null","99","null","666","null","350","null","1198","null","519","null","4875","null","1019","null","1091","462","null","null","2914","null","869","null","870","null","365","null","21168","null","1703","null","16471","null","1589","null","3864","831","null","null","833","375","null","null","47","null","78","null","14354","null","1544","null","2440","null","802","null","624","447","null","null","370","295","null","null","1446","null","683","null","2823","null","862","null","1626","null","609","null","943","609","null","null","254","174","null","null","1881","706","null","null","1226","null","655","null","582","null","303","null","73","88","null","null","2958","890","null","null","2923","886","null","null","35","null","57","null","0","197","null","null","4119","879","null","null","4119","null","879","null","0","197","null","null","0","197","null","null","133","null","150","null",
