"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US36081","Queens County, New York","12190","443","null","null","33199","null","679","null","56863","1012","null","null","89371","1518","null","null","176659","4109","null","null","283241","11812","null","null",
"0500000US36083","Rensselaer County, New York","12759","1644","null","null","34947","null","2628","null","57469","3567","null","null","87051","4112","null","null","163203","13007","null","null","247633","41930","null","null",
"0500000US36085","Richmond County, New York","13185","1275","null","null","39556","null","2265","null","69778","2892","null","null","109835","3672","null","null","218611","13214","null","null","358226","40955","null","null",
"0500000US36087","Rockland County, New York","15098","1331","null","null","44484","null","3338","null","81478","3994","null","null","124700","5054","null","null","261879","18608","null","null","443876","58720","null","null",
"0500000US36089","St. Lawrence County, New York","9682","1364","null","null","26431","null","2711","null","44838","2636","null","null","66406","3787","null","null","138827","19556","null","null","244785","70169","null","null",
"0500000US36091","Saratoga County, New York","17741","1645","null","null","43752","null","2580","null","71386","3826","null","null","104117","4048","null","null","196352","11361","null","null","320865","30122","null","null",
"0500000US36093","Schenectady County, New York","11676","1320","null","null","32122","null","2464","null","54521","3019","null","null","85248","4671","null","null","156534","9599","null","null","228181","23525","null","null",
"0500000US36101","Steuben County, New York","12042","1273","null","null","27852","null","2219","null","46842","3644","null","null","72872","4219","null","null","152271","18535","null","null","273500","62306","null","null",
"0500000US36103","Suffolk County, New York","18979","1008","null","null","50761","null","1592","null","85106","1986","null","null","125839","2198","null","null","253204","7658","null","null","426112","22785","null","null",
"0500000US36105","Sullivan County, New York","9941","1434","null","null","27637","null","3722","null","47629","3745","null","null","69827","5248","null","null","156919","20128","null","null","278813","72139","null","null",
