"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","73,843,861","47,498,648","2,764,424","11,070","45,237","2,708,117","4,368,034","149,166","633,769","3,585,099","5,414,992","670,810","1,724,517","3,019,665","9,494,834","2,794,119","3,621,529","3,079,186","25,190,609","15,824,498","6,765,791","2,600,320","265,755","26,345,213","4,648,235","972,454","1,019,972","2,655,809","5,048,685","3,054,226","1,209,992","784,467","4,025,794","3,382,721","478,391","164,682","4,673,275","4,363,845","240,330","69,100","7,591,411","7,473,319","97,345","20,747","357,813"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,240,017","719,189","58,806","206","2,419","56,181","84,807","4,162","18,791","61,854","104,491","20,362","45,989","38,140","159,067","74,134","62,155","22,778","307,113","241,832","54,951","10,330","4,905","520,828","119,228","33,219","29,958","56,051","111,671","88,224","17,996","5,451","83,185","79,719","2,587","879","89,382","88,759","623","0","107,955","107,697","258","0","9,407"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","156,107","99,127","3,528","47","12","3,469","4,420","83","254","4,083","7,405","258","1,758","5,389","15,928","2,941","5,238","7,749","67,672","39,115","22,802","5,755","174","56,980","7,030","1,240","1,127","4,663","7,304","4,218","1,807","1,279","7,462","4,801","2,579","82","10,519","9,654","679","186","24,516","24,287","229","0","149"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,490,031","962,561","68,109","409","724","66,976","103,824","3,826","14,337","85,661","128,166","15,874","45,585","66,707","199,219","62,562","83,791","52,866","453,754","315,675","108,009","30,070","9,489","527,470","100,845","28,216","25,238","47,391","111,814","76,922","22,345","12,547","82,307","74,640","6,621","1,046","92,817","90,549","1,752","516","127,451","126,881","490","80","12,236"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","739,987","412,235","37,410","395","725","36,290","54,538","3,070","17,029","34,439","61,391","17,438","27,024","16,929","90,267","48,560","32,080","9,627","165,572","137,516","23,430","4,626","3,057","327,752","73,521","26,083","20,279","27,159","71,267","59,760","8,680","2,827","54,918","52,710","1,982","226","59,361","58,793","568","0","63,917","63,917","0","0","4,768"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","6,804,639","4,941,183","238,005","852","2,250","234,903","354,329","7,644","20,118","326,567","450,923","23,931","65,535","361,457","828,897","100,519","231,007","497,371","3,033,851","1,353,917","1,043,630","636,304","35,178","1,863,456","292,276","58,773","49,723","183,780","315,526","167,470","79,296","68,760","257,806","203,492","39,041","15,273","313,641","285,922","21,658","6,061","658,392","648,079","7,899","2,414","25,815"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,291,945","934,605","45,408","110","520","44,778","77,513","1,662","7,925","67,926","101,416","9,006","26,205","66,205","176,026","37,174","75,914","62,938","529,675","342,466","148,827","38,382","4,567","357,340","55,693","10,977","13,650","31,066","61,317","40,592","14,065","6,660","49,706","45,679","3,061","966","64,496","63,215","1,014","267","122,482","121,728","657","97","3,646"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","888,478","614,989","18,549","0","147","18,402","33,790","147","1,175","32,468","46,182","1,631","6,080","38,471","103,121","8,933","29,701","64,487","410,527","209,632","138,836","62,059","2,820","273,489","32,375","731","1,833","29,811","41,594","4,607","12,809","24,178","36,545","13,612","16,789","6,144","47,686","34,571","10,384","2,731","112,219","107,709","3,544","966","3,070"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","243,047","165,067","9,002","86","74","8,842","14,113","178","1,488","12,447","18,084","1,965","4,595","11,524","33,623","7,655","13,849","12,119","89,186","59,214","24,375","5,597","1,059","77,980","12,800","1,912","3,734","7,154","14,984","9,122","3,795","2,067","12,835","11,079","1,323","433","14,994","14,525","469","0","21,535","21,535","0","0","832"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","110,513","84,271","3,623","40","53","3,530","3,321","150","148","3,023","4,478","383","933","3,162","10,162","1,671","2,774","5,717","62,102","33,764","19,846","8,492","585","26,242","3,211","337","311","2,563","3,396","1,651","694","1,051","2,466","1,922","300","244","4,682","4,043","551","88","11,886","11,249","555","82","601"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,672,482","2,766,041","238,600","828","2,862","234,910","338,282","10,754","40,908","286,620","377,292","42,763","113,850","220,679","587,329","157,376","230,755","199,198","1,200,832","744,362","329,230","127,240","23,706","1,906,441","368,576","82,501","68,394","217,681","394,461","233,630","95,400","65,431","306,855","255,312","37,722","13,821","320,968","299,095","14,552","7,321","478,048","465,018","9,981","3,049","37,533"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,222,377","1,501,828","111,671","260","1,992","109,419","158,084","4,855","21,715","131,514","186,954","22,760","66,775","97,419","310,146","102,522","131,836","75,788","723,411","514,444","164,621","44,346","11,562","720,549","146,979","33,743","37,488","75,748","135,484","96,880","28,085","10,519","113,025","102,087","9,410","1,528","123,001","120,149","2,192","660","189,155","188,255","582","318","12,905"
