"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0100000US","United States","0.4811","null","0.0007","null",
"0400000US01","Alabama","0.4752","null","0.0039","null",
"0400000US02","Alaska","0.4083","null","0.0103","null",
"0400000US04","Arizona","0.4681","null","0.0050","null",
"0400000US05","Arkansas","0.4685","null","0.0077","null",
"0400000US06","California","0.4903","null","0.0018","null",
"0400000US08","Colorado","0.4614","null","0.0043","null",
"0400000US09","Connecticut","0.4994","null","0.0054","null",
"0400000US10","Delaware","0.4513","null","0.0098","null",
"0400000US11","District of Columbia","0.5320","null","0.0119","null",
"0400000US12","Florida","0.4843","null","0.0028","null",
"0400000US13","Georgia","0.4837","null","0.0035","null",
"0400000US15","Hawaii","0.4400","null","0.0087","null",
"0400000US16","Idaho","0.4376","null","0.0080","null",
"0400000US17","Illinois","0.4824","null","0.0031","null",
"0400000US18","Indiana","0.4554","null","0.0053","null",
"0400000US19","Iowa","0.4429","null","0.0053","null",
"0400000US20","Kansas","0.4589","null","0.0088","null",
"0400000US21","Kentucky","0.4721","null","0.0068","null",
"0400000US22","Louisiana","0.4914","null","0.0047","null",
"0400000US23","Maine","0.4532","null","0.0074","null",
"0400000US24","Maryland","0.4555","null","0.0041","null",
"0400000US25","Massachusetts","0.4837","null","0.0036","null",
"0400000US26","Michigan","0.4641","null","0.0029","null",
"0400000US27","Minnesota","0.4462","null","0.0035","null",
"0400000US28","Mississippi","0.4791","null","0.0061","null",
"0400000US29","Missouri","0.4605","null","0.0043","null",
"0400000US30","Montana","0.4620","null","0.0086","null",
"0400000US31","Nebraska","0.4445","null","0.0061","null",
"0400000US32","Nevada","0.4543","null","0.0078","null",
"0400000US33","New Hampshire","0.4387","null","0.0085","null",
"0400000US34","New Jersey","0.4800","null","0.0028","null",
"0400000US35","New Mexico","0.4759","null","0.0064","null",
"0400000US36","New York","0.5098","null","0.0035","null",
"0400000US37","North Carolina","0.4765","null","0.0036","null",
"0400000US38","North Dakota","0.4550","null","0.0086","null",
"0400000US39","Ohio","0.4652","null","0.0031","null",
"0400000US40","Oklahoma","0.4619","null","0.0048","null",
"0400000US41","Oregon","0.4600","null","0.0059","null",
"0400000US42","Pennsylvania","0.4696","null","0.0025","null",
"0400000US44","Rhode Island","0.4769","null","0.0107","null",
"0400000US45","South Carolina","0.4665","null","0.0044","null",
"0400000US46","South Dakota","0.4427","null","0.0085","null",
"0400000US47","Tennessee","0.4783","null","0.0042","null",
"0400000US48","Texas","0.4807","null","0.0026","null",
"0400000US49","Utah","0.4259","null","0.0057","null",
"0400000US50","Vermont","0.4537","null","0.0127","null",
"0400000US51","Virginia","0.4672","null","0.0031","null",
"0400000US53","Washington","0.4572","null","0.0036","null",
"0400000US54","West Virginia","0.4647","null","0.0073","null",
"0400000US55","Wisconsin","0.4446","null","0.0034","null",
"0400000US56","Wyoming","0.4183","null","0.0120","null",
"0400000US72","Puerto Rico","0.5470","null","0.0072","null",
"0500000US01003","Baldwin County, Alabama","0.4727","null","0.0238","null",
"0500000US01015","Calhoun County, Alabama","0.4670","null","0.0379","null",
"0500000US01043","Cullman County, Alabama","0.4543","null","0.0248","null",
"0500000US01049","DeKalb County, Alabama","0.3940","null","0.0239","null",
"0500000US01051","Elmore County, Alabama","0.4206","null","0.0458","null",
"0500000US01055","Etowah County, Alabama","0.4351","null","0.0238","null",
"0500000US01069","Houston County, Alabama","0.4675","null","0.0160","null",
"0500000US01073","Jefferson County, Alabama","0.5068","null","0.0141","null",
"0500000US01077","Lauderdale County, Alabama","0.4459","null","0.0306","null",
"0500000US01081","Lee County, Alabama","0.4960","null","0.0261","null",
"0500000US01083","Limestone County, Alabama","0.4598","null","0.0393","null",
"0500000US01089","Madison County, Alabama","0.4640","null","0.0167","null",
"0500000US01095","Marshall County, Alabama","0.4672","null","0.0315","null",
"0500000US01097","Mobile County, Alabama","0.4588","null","0.0139","null",
"0500000US01101","Montgomery County, Alabama","0.4848","null","0.0165","null",
"0500000US01103","Morgan County, Alabama","0.4626","null","0.0323","null",
"0500000US01115","St. Clair County, Alabama","0.4235","null","0.0342","null",
"0500000US01117","Shelby County, Alabama","0.4250","null","0.0227","null",
"0500000US01121","Talladega County, Alabama","0.4627","null","0.0355","null",
"0500000US01125","Tuscaloosa County, Alabama","0.4505","null","0.0256","null",
"0500000US01127","Walker County, Alabama","0.4494","null","0.0258","null",
"0500000US02020","Anchorage Municipality, Alaska","0.4035","null","0.0169","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","0.4036","null","0.0330","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.4006","null","0.0203","null",
"0500000US04001","Apache County, Arizona","0.4654","null","0.0210","null",
"0500000US04003","Cochise County, Arizona","0.4646","null","0.0279","null",
"0500000US04005","Coconino County, Arizona","0.4970","null","0.0551","null",
"0500000US04013","Maricopa County, Arizona","0.4681","null","0.0056","null",
"0500000US04015","Mohave County, Arizona","0.4339","null","0.0261","null",
"0500000US04017","Navajo County, Arizona","0.4628","null","0.0258","null",
"0500000US04019","Pima County, Arizona","0.4769","null","0.0130","null",
"0500000US04021","Pinal County, Arizona","0.4105","null","0.0211","null",
"0500000US04025","Yavapai County, Arizona","0.4426","null","0.0243","null",
"0500000US04027","Yuma County, Arizona","0.4400","null","0.0223","null",
"0500000US05007","Benton County, Arkansas","0.4415","null","0.0178","null",
"0500000US05031","Craighead County, Arkansas","0.4649","null","0.0636","null",
"0500000US05045","Faulkner County, Arkansas","0.4391","null","0.0524","null",
"0500000US05051","Garland County, Arkansas","0.4625","null","0.0245","null",
"0500000US05069","Jefferson County, Arkansas","0.4529","null","0.0313","null",
"0500000US05085","Lonoke County, Arkansas","0.3860","null","0.0219","null",
"0500000US05119","Pulaski County, Arkansas","0.4877","null","0.0198","null",
"0500000US05125","Saline County, Arkansas","0.3775","null","0.0214","null",
"0500000US05131","Sebastian County, Arkansas","0.5034","null","0.0458","null",
"0500000US05143","Washington County, Arkansas","0.4791","null","0.0200","null",
"0500000US05145","White County, Arkansas","0.4513","null","0.0328","null",
"0500000US06001","Alameda County, California","0.4755","null","0.0055","null",
"0500000US06007","Butte County, California","0.4750","null","0.0177","null",
"0500000US06013","Contra Costa County, California","0.4687","null","0.0102","null",
"0500000US06017","El Dorado County, California","0.4855","null","0.0214","null",
"0500000US06019","Fresno County, California","0.4762","null","0.0085","null",
"0500000US06023","Humboldt County, California","0.4292","null","0.0197","null",
"0500000US06025","Imperial County, California","0.4419","null","0.0238","null",
"0500000US06029","Kern County, California","0.4562","null","0.0084","null",
"0500000US06031","Kings County, California","0.4505","null","0.0263","null",
"0500000US06033","Lake County, California","0.4479","null","0.0321","null",
"0500000US06037","Los Angeles County, California","0.5047","null","0.0041","null",
"0500000US06039","Madera County, California","0.4516","null","0.0254","null",
"0500000US06041","Marin County, California","0.5244","null","0.0210","null",
"0500000US06045","Mendocino County, California","0.5189","null","0.0658","null",
"0500000US06047","Merced County, California","0.4452","null","0.0172","null",
"0500000US06053","Monterey County, California","0.4628","null","0.0183","null",
"0500000US06055","Napa County, California","0.4593","null","0.0217","null",
"0500000US06057","Nevada County, California","0.4458","null","0.0338","null",
"0500000US06059","Orange County, California","0.4717","null","0.0085","null",
"0500000US06061","Placer County, California","0.4428","null","0.0193","null",
"0500000US06065","Riverside County, California","0.4497","null","0.0067","null",
"0500000US06067","Sacramento County, California","0.4602","null","0.0082","null",
"0500000US06071","San Bernardino County, California","0.4461","null","0.0080","null",
"0500000US06073","San Diego County, California","0.4789","null","0.0071","null",
"0500000US06075","San Francisco County, California","0.5283","null","0.0121","null",
"0500000US06077","San Joaquin County, California","0.4416","null","0.0116","null",
"0500000US06079","San Luis Obispo County, California","0.4490","null","0.0157","null",
"0500000US06081","San Mateo County, California","0.4820","null","0.0112","null",
"0500000US06083","Santa Barbara County, California","0.5038","null","0.0182","null",
"0500000US06085","Santa Clara County, California","0.4705","null","0.0066","null",
"0500000US06087","Santa Cruz County, California","0.4581","null","0.0148","null",
"0500000US06089","Shasta County, California","0.4545","null","0.0187","null",
"0500000US06095","Solano County, California","0.4267","null","0.0136","null",
"0500000US06097","Sonoma County, California","0.4645","null","0.0163","null",
"0500000US06099","Stanislaus County, California","0.4786","null","0.0389","null",
"0500000US06101","Sutter County, California","0.4646","null","0.0338","null",
"0500000US06107","Tulare County, California","0.4679","null","0.0160","null",
"0500000US06111","Ventura County, California","0.4459","null","0.0124","null",
