"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002EA","B25101_002M","B25101_002MA","B25101_003E","B25101_003EA","B25101_003M","B25101_003MA","B25101_004E","B25101_004EA","B25101_004M","B25101_004MA","B25101_005E","B25101_005EA","B25101_005M","B25101_005MA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012M","B25101_012MA","B25101_012EA","B25101_013E","B25101_013M","B25101_013MA","B25101_013EA","B25101_014E","B25101_014EA","B25101_014M","B25101_014MA","B25101_015E","B25101_015EA","B25101_015M","B25101_015MA","B25101_016E","B25101_016EA","B25101_016M","B25101_016MA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018M","B25101_018MA","B25101_018EA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020EA","B25101_020M","B25101_020MA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024EA","B25101_024M","B25101_024MA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026EA","B25101_026M","B25101_026MA","B25101_027E","B25101_027EA","B25101_027M","B25101_027MA","B25101_028E","B25101_028EA","B25101_028M","B25101_028MA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030EA","B25101_030M","B25101_030MA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035EA","B25101_035M","B25101_035MA","B25101_036E","B25101_036EA","B25101_036M","B25101_036MA","B25101_037E","B25101_037EA","B25101_037M","B25101_037MA","B25101_038E","B25101_038EA","B25101_038M","B25101_038MA","B25101_039E","B25101_039EA","B25101_039M","B25101_039MA","B25101_040E","B25101_040M","B25101_040MA","B25101_040EA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042EA","B25101_042M","B25101_042MA","B25101_043E","B25101_043EA","B25101_043M","B25101_043MA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045M","B25101_045MA","B25101_045EA",
"0500000US24021","Frederick County, Maryland","79433","null","2728","null","58815","null","2720","null","1636","null","633","null","0","null","216","null","0","null","216","null","1636","null","633","null","2132","null","654","null","0","null","216","null","273","274","null","null","1859","525","null","null","2229","695","null","null","13","22","null","null","100","121","null","null","2116","null","693","null","6898","null","1379","null","704","null","430","null","1795","null","702","null","4399","1077","null","null","45488","null","2581","null","29608","null","2314","null","12335","1988","null","null","3545","835","null","null","432","329","null","null","20618","null","1936","null","1708","null","427","null","42","null","69","null","196","null","184","null","1470","null","417","null","2047","null","651","null","549","null","343","null","861","433","null","null","637","367","null","null","1838","568","null","null","1420","null","474","null","374","null","262","null","44","null","72","null","3550","null","863","null","3523","null","868","null","27","null","47","null","0","216","null","null","11371","null","1574","null","11323","null","1576","null","48","null","80","null","0","216","null","null","104","102","null","null",
"0500000US24025","Harford County, Maryland","80967","null","2326","null","56640","null","2565","null","1099","null","565","null","0","null","216","null","0","null","216","null","1099","null","565","null","2274","null","743","null","0","null","216","null","175","152","null","null","2099","722","null","null","2657","826","null","null","55","92","null","null","530","404","null","null","2072","null","749","null","7397","null","1474","null","1063","null","836","null","2989","null","833","null","3345","1059","null","null","42730","null","2588","null","29471","null","2353","null","10393","1549","null","null","2866","823","null","null","483","378","null","null","24327","null","1883","null","2227","null","660","null","331","null","407","null","135","null","116","null","1761","null","677","null","1888","null","704","null","677","null","308","null","665","360","null","null","546","562","null","null","1862","510","null","null","1403","null","464","null","337","null","238","null","122","null","95","null","5072","null","1190","null","4623","null","1130","null","425","null","294","null","24","40","null","null","12666","null","1535","null","12512","null","1524","null","154","null","149","null","0","216","null","null","612","482","null","null",
"0500000US24027","Howard County, Maryland","89220","null","2399","null","64319","null","2397","null","1168","null","554","null","0","null","216","null","0","null","216","null","1168","null","554","null","900","null","466","null","0","null","216","null","0","216","null","null","900","466","null","null","1859","768","null","null","0","216","null","null","0","216","null","null","1859","null","768","null","3747","null","907","null","157","null","163","null","385","null","285","null","3205","809","null","null","56510","null","2211","null","33436","null","2558","null","15390","2085","null","null","7684","1458","null","null","135","178","null","null","24901","null","1759","null","1258","null","583","null","0","null","216","null","71","null","94","null","1187","null","578","null","795","null","406","null","40","null","65","null","461","336","null","null","294","230","null","null","1947","776","null","null","710","null","486","null","729","null","449","null","508","null","383","null","2114","null","678","null","1544","null","563","null","522","null","326","null","48","78","null","null","18322","null","1663","null","17620","null","1675","null","443","null","290","null","259","251","null","null","465","386","null","null",
"0500000US24031","Montgomery County, Maryland","255211","null","4540","null","178132","null","4972","null","4075","null","1048","null","0","null","216","null","0","null","216","null","4075","null","1048","null","4822","null","1094","null","83","null","141","null","0","216","null","null","4739","1044","null","null","5816","1019","null","null","43","72","null","null","306","233","null","null","5467","null","1010","null","13178","null","1699","null","903","null","499","null","3011","null","825","null","9264","1346","null","null","149691","null","4752","null","88106","null","3753","null","40051","3336","null","null","21534","2057","null","null","550","305","null","null","77079","null","3124","null","5490","null","1117","null","37","null","62","null","343","null","326","null","5110","null","1074","null","5667","null","1165","null","969","null","569","null","1543","489","null","null","3155","761","null","null","6325","1085","null","null","2264","null","819","null","2357","null","799","null","1704","null","498","null","9350","null","1366","null","7036","null","1167","null","1641","null","531","null","673","398","null","null","49452","null","2950","null","47966","null","2886","null","1219","null","456","null","267","178","null","null","795","365","null","null",
"0500000US24033","Prince George's County, Maryland","215180","null","3935","null","171000","null","4521","null","7746","null","1876","null","0","null","216","null","56","null","95","null","7690","null","1862","null","6155","null","1273","null","115","null","134","null","81","94","null","null","5959","1264","null","null","10282","2072","null","null","90","110","null","null","543","289","null","null","9649","null","2030","null","18525","null","2878","null","1379","null","560","null","3565","null","1273","null","13581","2228","null","null","127870","null","3861","null","68602","null","3715","null","42941","3291","null","null","16327","2355","null","null","422","290","null","null","44180","null","2801","null","3957","null","1145","null","47","null","81","null","329","null","251","null","3581","null","1100","null","3385","null","998","null","643","null","307","null","794","380","null","null","1948","808","null","null","3451","756","null","null","1687","null","752","null","1437","null","594","null","327","null","259","null","6953","null","1267","null","6437","null","1141","null","459","null","336","null","57","95","null","null","25767","null","2059","null","25198","null","2088","null","364","null","258","null","205","201","null","null","667","451","null","null",
"0500000US24037","St. Mary's County, Maryland","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US24043","Washington County, Maryland","38275","null","2777","null","24188","null","2465","null","1064","null","591","null","0","null","216","null","0","null","216","null","1064","null","591","null","1630","null","731","null","0","null","216","null","259","247","null","null","1371","686","null","null","2327","731","null","null","337","256","null","null","299","205","null","null","1691","null","624","null","3623","null","943","null","1074","null","487","null","923","null","433","null","1626","642","null","null","15544","null","2101","null","12186","null","1738","null","2896","901","null","null","462","334","null","null","0","216","null","null","14087","null","1755","null","1882","null","756","null","158","null","248","null","576","null","327","null","1148","null","601","null","1518","null","717","null","928","null","493","null","428","332","null","null","162","257","null","null","2113","671","null","null","1937","null","650","null","108","null","120","null","68","null","117","null","2590","null","679","null","2590","null","679","null","0","null","216","null","0","216","null","null","5966","null","1258","null","5966","null","1258","null","0","null","216","null","0","216","null","null","18","30","null","null",
"0500000US24045","Wicomico County, Maryland","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US24510","Baltimore city, Maryland","123249","null","4168","null","84578","null","4179","null","7057","null","1434","null","0","null","216","null","0","null","216","null","7057","null","1434","null","5471","null","1258","null","59","null","97","null","414","281","null","null","4998","1222","null","null","7840","1697","null","null","575","476","null","null","1096","473","null","null","6169","null","1478","null","15557","null","2102","null","2386","null","820","null","7224","null","1255","null","5947","1338","null","null","47858","null","3350","null","35351","null","2967","null","9593","1448","null","null","2914","905","null","null","795","653","null","null","38671","null","2550","null","7481","null","1484","null","27","null","48","null","1086","null","810","null","6368","null","1322","null","5429","null","1042","null","2418","null","844","null","1655","536","null","null","1356","538","null","null","4179","935","null","null","3504","null","835","null","596","null","402","null","79","null","101","null","6844","null","1192","null","6231","null","1152","null","485","null","298","null","128","151","null","null","13851","null","1601","null","13294","null","1568","null","531","null","348","null","26","43","null","null","887","441","null","null",
"0500000US25001","Barnstable County, Massachusetts","86167","null","3029","null","52604","null","3167","null","2040","null","672","null","0","null","218","null","0","null","218","null","2040","null","672","null","3100","null","841","null","173","null","213","null","38","63","null","null","2889","815","null","null","3611","855","null","null","57","94","null","null","169","141","null","null","3385","null","868","null","8054","null","1550","null","428","null","263","null","1459","null","546","null","6167","1390","null","null","35748","null","2806","null","20995","null","2161","null","9570","1538","null","null","5183","1224","null","null","51","84","null","null","33563","null","2141","null","2710","null","727","null","0","null","218","null","243","null","240","null","2467","null","673","null","3880","null","985","null","728","null","402","null","1394","589","null","null","1758","758","null","null","3666","822","null","null","1677","null","628","null","1354","null","473","null","635","null","415","null","6752","null","1170","null","4842","null","1028","null","1510","null","620","null","400","262","null","null","15962","null","1493","null","15627","null","1467","null","249","null","200","null","86","100","null","null","593","446","null","null",
