"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","83,396,988","51,114,260","2,233,345","9,085","19,947","2,204,313","3,064,006","66,065","296,197","2,701,744","4,007,836","328,410","1,028,502","2,650,924","7,836,919","1,804,373","2,895,897","3,136,649","33,694,555","21,975,347","8,397,413","3,321,795","277,599","32,282,728","4,026,427","574,499","698,466","2,753,462","4,413,039","2,168,455","1,182,771","1,061,813","4,049,264","3,007,484","702,143","339,637","5,705,774","5,064,932","474,073","166,769","13,604,682","13,256,089","258,686","89,907","483,542"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,377,932","738,993","47,251","264","639","46,348","57,709","2,170","8,130","47,409","76,100","9,936","29,048","37,116","137,802","52,182","55,199","30,421","415,520","336,605","66,983","11,932","4,611","638,939","112,838","26,584","27,518","58,736","105,991","77,527","20,832","7,632","92,886","85,622","6,428","836","113,143","111,539","1,103","501","200,230","199,571","386","273","13,851"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","181,145","110,531","3,885","0","0","3,885","4,290","34","340","3,916","6,980","165","739","6,076","14,735","1,436","4,470","8,829","79,700","47,014","22,111","10,575","941","70,614","9,226","1,375","875","6,976","7,252","3,061","1,973","2,218","6,912","5,200","1,258","454","11,655","10,345","1,295","15","34,988","34,261","647","80","581"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,905,690","1,205,595","57,516","178","286","57,052","74,852","1,459","7,203","66,190","104,100","5,977","23,333","74,790","197,282","39,303","86,153","71,826","764,684","529,397","186,859","48,428","7,161","700,095","91,593","15,947","18,778","56,868","96,256","56,883","22,261","17,112","95,160","78,940","12,508","3,712","129,301","124,042","4,327","932","274,125","272,963","529","633","13,660"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","793,038","428,178","28,099","83","481","27,535","38,099","1,012","8,157","28,930","48,082","6,607","21,653","19,822","82,220","35,163","32,388","14,669","230,347","193,975","29,852","6,520","1,331","364,860","62,672","15,525","14,589","32,558","62,901","43,991","12,662","6,248","50,234","47,425","1,919","890","67,813","65,976","1,643","194","115,077","114,986","91","0","6,163"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,502,706","5,098,782","196,541","1,039","640","194,862","226,701","2,968","4,264","219,469","290,245","7,385","21,448","261,412","579,680","41,031","120,045","418,604","3,772,738","1,758,494","1,196,942","817,302","32,877","2,403,924","246,941","21,771","23,800","201,370","264,914","83,523","71,553","109,838","237,559","134,597","61,067","41,895","370,643","295,482","52,268","22,893","1,244,091","1,191,995","35,566","16,530","39,776"
