"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US38017","Cass County, North Dakota","15625","null","2634","null","38798","null","3209","null","66262","null","3692","null","101838","null","7178","null","229803","null","22545","null","399276","54469","null","null",
"0500000US38035","Grand Forks County, North Dakota","11846","null","2847","null","35845","null","5728","null","64949","null","5643","null","97611","null","6305","null","195535","null","24860","null","340026","77991","null","null",
"0500000US38101","Ward County, North Dakota","17066","null","3973","null","45326","null","6972","null","70431","null","5127","null","100752","null","9419","null","185054","null","24257","null","281620","57114","null","null",
"0500000US39003","Allen County, Ohio","13119","null","2009","null","32845","null","3242","null","52887","null","4421","null","83403","null","5701","null","167698","null","16999","null","278616","54526","null","null",
"0500000US39007","Ashtabula County, Ohio","12970","null","1567","null","31207","null","2872","null","48351","null","3871","null","75124","null","5759","null","136854","null","10783","null","206159","24314","null","null",
"0500000US39013","Belmont County, Ohio","10631","null","2002","null","30359","null","3544","null","51403","null","4489","null","81169","null","6564","null","151967","null","17912","null","255316","55689","null","null",
"0500000US39017","Butler County, Ohio","15565","null","1857","null","42482","null","2263","null","72009","null","2708","null","110631","null","4418","null","208368","null","8204","null","309570","24189","null","null",
"0500000US39023","Clark County, Ohio","12325","null","1760","null","34324","null","2980","null","59474","null","3865","null","90729","null","4441","null","161683","null","9140","null","235274","23853","null","null",
"0500000US39025","Clermont County, Ohio","16673","null","2463","null","44931","null","2928","null","69728","null","3315","null","106638","null","6508","null","241613","null","26670","null","432939","87388","null","null",
"0500000US39029","Columbiana County, Ohio","9783","null","1753","null","27912","null","3085","null","49434","null","4850","null","80310","null","8007","null","209918","null","52045","null","435038","187754","null","null",
