"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0100000US","United States","0.4848","null","0.0006","null",
"0400000US01","Alabama","0.4823","null","0.0050","null",
"0400000US02","Alaska","0.4392","null","0.0109","null",
"0400000US04","Arizona","0.4629","null","0.0041","null",
"0400000US05","Arkansas","0.4751","null","0.0063","null",
"0400000US06","California","0.4924","null","0.0019","null",
"0400000US08","Colorado","0.4604","null","0.0046","null",
"0400000US09","Connecticut","0.4985","null","0.0050","null",
"0400000US10","Delaware","0.4547","null","0.0154","null",
"0400000US11","District of Columbia","0.5305","null","0.0129","null",
"0400000US12","Florida","0.4869","null","0.0030","null",
"0400000US13","Georgia","0.4787","null","0.0052","null",
"0400000US15","Hawaii","0.4552","null","0.0097","null",
"0400000US16","Idaho","0.4577","null","0.0122","null",
"0400000US17","Illinois","0.4824","null","0.0036","null",
"0400000US18","Indiana","0.4480","null","0.0050","null",
"0400000US19","Iowa","0.4489","null","0.0070","null",
"0400000US20","Kansas","0.4599","null","0.0068","null",
"0400000US21","Kentucky","0.4757","null","0.0054","null",
"0400000US22","Louisiana","0.4988","null","0.0056","null",
"0400000US23","Maine","0.4663","null","0.0109","null",
"0400000US24","Maryland","0.4631","null","0.0047","null",
"0400000US25","Massachusetts","0.4893","null","0.0037","null",
"0400000US26","Michigan","0.4659","null","0.0033","null",
"0400000US27","Minnesota","0.4493","null","0.0041","null",
"0400000US28","Mississippi","0.4808","null","0.0071","null",
"0400000US29","Missouri","0.4706","null","0.0045","null",
"0400000US30","Montana","0.4693","null","0.0125","null",
"0400000US31","Nebraska","0.4560","null","0.0064","null",
"0400000US32","Nevada","0.4726","null","0.0067","null",
"0400000US33","New Hampshire","0.4348","null","0.0088","null",
"0400000US34","New Jersey","0.4853","null","0.0040","null",
"0400000US35","New Mexico","0.4861","null","0.0094","null",
"0400000US36","New York","0.5140","null","0.0027","null",
"0400000US37","North Carolina","0.4801","null","0.0039","null",
"0400000US38","North Dakota","0.4531","null","0.0117","null",
"0400000US39","Ohio","0.4687","null","0.0034","null",
"0400000US40","Oklahoma","0.4618","null","0.0043","null",
"0400000US41","Oregon","0.4611","null","0.0048","null",
"0400000US42","Pennsylvania","0.4720","null","0.0022","null",
"0400000US44","Rhode Island","0.4680","null","0.0113","null",
"0400000US45","South Carolina","0.4760","null","0.0058","null",
"0400000US46","South Dakota","0.4522","null","0.0144","null",
"0400000US47","Tennessee","0.4821","null","0.0054","null",
"0400000US48","Texas","0.4784","null","0.0025","null",
"0400000US49","Utah","0.4449","null","0.0079","null",
"0400000US50","Vermont","0.4527","null","0.0103","null",
"0400000US51","Virginia","0.4724","null","0.0030","null",
"0400000US53","Washington","0.4704","null","0.0043","null",
"0400000US54","West Virginia","0.4858","null","0.0083","null",
"0400000US55","Wisconsin","0.4464","null","0.0042","null",
"0400000US56","Wyoming","0.4638","null","0.0204","null",
"0400000US72","Puerto Rico","0.5423","null","0.0074","null",
"0500000US01003","Baldwin County, Alabama","0.4539","null","0.0313","null",
"0500000US01015","Calhoun County, Alabama","0.4532","null","0.0236","null",
"0500000US01043","Cullman County, Alabama","0.4274","null","0.0239","null",
"0500000US01049","DeKalb County, Alabama","0.5274","null","0.0782","null",
"0500000US01051","Elmore County, Alabama","0.4370","null","0.0378","null",
"0500000US01055","Etowah County, Alabama","0.4450","null","0.0298","null",
"0500000US01069","Houston County, Alabama","0.4932","null","0.0237","null",
"0500000US01073","Jefferson County, Alabama","0.5038","null","0.0141","null",
"0500000US01077","Lauderdale County, Alabama","0.4588","null","0.0263","null",
"0500000US01081","Lee County, Alabama","0.4928","null","0.0294","null",
"0500000US01083","Limestone County, Alabama","0.4534","null","0.0546","null",
"0500000US01089","Madison County, Alabama","0.4639","null","0.0203","null",
"0500000US01095","Marshall County, Alabama","0.4909","null","0.0494","null",
"0500000US01097","Mobile County, Alabama","0.4640","null","0.0133","null",
"0500000US01101","Montgomery County, Alabama","0.4895","null","0.0287","null",
"0500000US01103","Morgan County, Alabama","0.4678","null","0.0321","null",
"0500000US01115","St. Clair County, Alabama","0.4411","null","0.0540","null",
"0500000US01117","Shelby County, Alabama","0.4470","null","0.0206","null",
"0500000US01121","Talladega County, Alabama","0.4643","null","0.0272","null",
"0500000US01125","Tuscaloosa County, Alabama","0.4863","null","0.0207","null",
"0500000US02020","Anchorage Municipality, Alaska","0.4336","null","0.0193","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","0.4216","null","0.0235","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.4275","null","0.0184","null",
"0500000US04001","Apache County, Arizona","0.5597","null","0.0855","null",
"0500000US04003","Cochise County, Arizona","0.4213","null","0.0213","null",
"0500000US04005","Coconino County, Arizona","0.4742","null","0.0276","null",
"0500000US04013","Maricopa County, Arizona","0.4608","null","0.0049","null",
"0500000US04015","Mohave County, Arizona","0.4834","null","0.0220","null",
"0500000US04017","Navajo County, Arizona","0.4386","null","0.0214","null",
"0500000US04019","Pima County, Arizona","0.4676","null","0.0117","null",
"0500000US04021","Pinal County, Arizona","0.3966","null","0.0146","null",
"0500000US04025","Yavapai County, Arizona","0.4269","null","0.0170","null",
"0500000US04027","Yuma County, Arizona","0.4302","null","0.0250","null",
"0500000US05007","Benton County, Arkansas","0.4332","null","0.0170","null",
"0500000US05031","Craighead County, Arkansas","0.4831","null","0.0252","null",
"0500000US05045","Faulkner County, Arkansas","0.4629","null","0.0315","null",
"0500000US05051","Garland County, Arkansas","0.4531","null","0.0400","null",
"0500000US05069","Jefferson County, Arkansas","0.4398","null","0.0314","null",
"0500000US05085","Lonoke County, Arkansas","0.4373","null","0.0391","null",
"0500000US05119","Pulaski County, Arkansas","0.5234","null","0.0201","null",
"0500000US05125","Saline County, Arkansas","0.3908","null","0.0273","null",
"0500000US05131","Sebastian County, Arkansas","0.5093","null","0.0309","null",
"0500000US05143","Washington County, Arkansas","0.4555","null","0.0251","null",
"0500000US05145","White County, Arkansas","0.4475","null","0.0387","null",
"0500000US06001","Alameda County, California","0.4739","null","0.0072","null",
"0500000US06007","Butte County, California","0.4765","null","0.0386","null",
"0500000US06013","Contra Costa County, California","0.4745","null","0.0090","null",
"0500000US06017","El Dorado County, California","0.4813","null","0.0293","null",
"0500000US06019","Fresno County, California","0.4779","null","0.0142","null",
"0500000US06023","Humboldt County, California","0.4689","null","0.0202","null",
"0500000US06025","Imperial County, California","0.4413","null","0.0225","null",
"0500000US06029","Kern County, California","0.4647","null","0.0122","null",
"0500000US06031","Kings County, California","0.4203","null","0.0240","null",
"0500000US06033","Lake County, California","0.4745","null","0.0455","null",
"0500000US06037","Los Angeles County, California","0.4986","null","0.0039","null",
"0500000US06039","Madera County, California","0.5229","null","0.0494","null",
"0500000US06041","Marin County, California","0.5324","null","0.0154","null",
"0500000US06045","Mendocino County, California","0.4902","null","0.0484","null",
"0500000US06047","Merced County, California","0.4811","null","0.0360","null",
"0500000US06053","Monterey County, California","0.4631","null","0.0211","null",
"0500000US06055","Napa County, California","0.4768","null","0.0264","null",
"0500000US06057","Nevada County, California","0.4931","null","0.0331","null",
"0500000US06059","Orange County, California","0.4717","null","0.0081","null",
"0500000US06061","Placer County, California","0.4339","null","0.0120","null",
"0500000US06065","Riverside County, California","0.4472","null","0.0091","null",
"0500000US06067","Sacramento County, California","0.4482","null","0.0106","null",
"0500000US06069","San Benito County, California","0.4032","null","0.0259","null",
"0500000US06071","San Bernardino County, California","0.4390","null","0.0086","null",
"0500000US06073","San Diego County, California","0.4668","null","0.0080","null",
"0500000US06075","San Francisco County, California","0.5322","null","0.0119","null",
"0500000US06077","San Joaquin County, California","0.4361","null","0.0124","null",
"0500000US06079","San Luis Obispo County, California","0.4609","null","0.0176","null",
"0500000US06081","San Mateo County, California","0.5078","null","0.0100","null",
"0500000US06083","Santa Barbara County, California","0.5053","null","0.0163","null",
"0500000US06085","Santa Clara County, California","0.4799","null","0.0066","null",
"0500000US06087","Santa Cruz County, California","0.4819","null","0.0175","null",
"0500000US06089","Shasta County, California","0.4786","null","0.0297","null",
"0500000US06095","Solano County, California","0.4279","null","0.0176","null",
"0500000US06097","Sonoma County, California","0.4592","null","0.0155","null",
"0500000US06099","Stanislaus County, California","0.4414","null","0.0154","null",
"0500000US06101","Sutter County, California","0.4335","null","0.0365","null",
"0500000US06103","Tehama County, California","0.4679","null","0.0375","null",
"0500000US06107","Tulare County, California","0.4529","null","0.0168","null",
"0500000US06111","Ventura County, California","0.4496","null","0.0130","null",
"0500000US06113","Yolo County, California","0.4963","null","0.0242","null",
"0500000US06115","Yuba County, California","0.4448","null","0.0549","null",
