"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","74,119,256","48,726,257","2,859,816","9,437","50,708","2,799,671","4,672,874","155,330","653,098","3,864,446","5,735,657","662,659","1,739,423","3,333,575","9,963,452","2,740,240","3,790,957","3,432,255","25,244,079","14,944,123","7,294,373","3,005,583","250,379","25,392,999","4,820,589","1,014,456","1,089,905","2,716,228","5,032,952","3,054,476","1,220,354","758,122","3,906,460","3,268,220","470,407","167,833","4,477,821","4,183,834","229,094","64,893","6,825,965","6,718,040","90,038","17,887","329,212"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,268,565","739,941","63,720","141","1,359","62,220","93,545","4,790","19,974","68,781","101,623","21,410","41,790","38,423","158,992","68,438","64,415","26,139","317,340","243,613","61,355","12,372","4,721","528,624","130,878","36,043","35,857","58,978","114,231","90,160","18,585","5,486","84,344","80,177","3,509","658","83,336","82,301","1,001","34","106,687","106,574","113","0","9,148"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","159,427","103,938","3,618","15","91","3,512","6,740","350","389","6,001","8,649","532","1,715","6,402","17,184","1,827","6,370","8,987","67,589","36,804","22,969","7,816","158","55,489","8,166","2,065","935","5,166","8,694","4,186","2,234","2,274","6,556","5,001","1,262","293","10,563","9,690","495","378","21,413","21,271","142","0","97"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,496,650","990,680","65,365","291","1,735","63,339","113,913","3,668","16,415","93,830","132,906","15,229","44,842","72,835","217,704","62,823","90,703","64,178","452,633","294,109","121,535","36,989","8,159","505,970","99,280","25,893","23,625","49,762","110,675","75,692","23,780","11,203","84,821","77,714","5,882","1,225","88,003","86,559","1,400","44","114,381","114,197","148","36","8,810"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","757,722","436,822","35,541","17","1,507","34,017","63,559","3,337","17,450","42,772","63,384","17,696","27,819","17,869","102,762","55,864","36,061","10,837","168,889","137,227","26,835","4,827","2,687","320,900","80,728","28,608","21,756","30,364","71,753","59,655","9,918","2,180","51,083","49,667","1,342","74","54,631","53,779","655","197","58,639","58,588","51","0","4,066"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
