"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US40145","Wagoner County, Oklahoma","14889","1752","null","null","38416","null","3359","null","63158","null","4763","null","92863","null","3844","null","148072","null","8395","null","209439","null","19240","null",
"0500000US41003","Benton County, Oregon","8944","1808","null","null","29816","null","3357","null","56280","null","4538","null","94139","null","6848","null","200343","null","19341","null","321005","null","58416","null",
"0500000US41005","Clackamas County, Oregon","19052","1644","null","null","47137","null","2098","null","74427","null","2638","null","112414","null","3683","null","242003","null","14878","null","439568","null","47620","null",
"0500000US41017","Deschutes County, Oregon","17019","2520","null","null","40265","null","3090","null","61938","null","3480","null","90533","null","4584","null","182612","null","20475","null","307611","null","63785","null",
"0500000US41019","Douglas County, Oregon","12198","1272","null","null","25527","null","1874","null","42869","null","3278","null","67915","null","5538","null","152406","null","26773","null","287726","null","99244","null",
"0500000US41029","Jackson County, Oregon","11207","1433","null","null","29081","null","2284","null","48196","null","3109","null","76280","null","4154","null","166036","null","15626","null","291951","null","47191","null",
"0500000US41033","Josephine County, Oregon","7879","1626","null","null","22255","null","2500","null","37508","null","4110","null","62006","null","4711","null","123424","null","13412","null","210245","null","39135","null",
"0500000US41035","Klamath County, Oregon","11123","1624","null","null","28182","null","3486","null","45289","null","2884","null","67317","null","5204","null","138955","null","12402","null","220181","null","29457","null",
"0500000US41039","Lane County, Oregon","10541","973","null","null","28648","null","1421","null","47899","null","1832","null","74447","null","2776","null","157200","null","8216","null","266216","null","25445","null",
"0500000US41043","Linn County, Oregon","14398","1800","null","null","32002","null","2584","null","52230","null","3836","null","79852","null","4606","null","170970","null","31582","null","334556","null","115305","null",
