"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","75,022,569","47,295,137","2,353,625","7,232","31,875","2,314,518","3,730,588","107,861","513,065","3,109,662","4,725,879","546,842","1,517,538","2,661,499","8,675,808","2,528,529","3,382,768","2,764,511","27,561,716","18,189,001","6,912,800","2,459,915","247,521","27,727,432","4,317,071","831,704","911,428","2,573,939","4,854,842","2,810,622","1,214,549","829,671","4,055,433","3,328,427","526,394","200,612","4,979,268","4,615,859","281,166","82,243","9,114,895","8,966,813","122,483","25,599","405,923"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,268,138","717,843","56,501","367","955","55,179","77,475","3,240","15,808","58,427","85,705","17,372","33,086","35,247","142,485","64,411","56,367","21,707","350,799","288,534","53,064","9,201","4,878","550,295","115,158","33,367","30,638","51,153","111,667","88,515","18,479","4,673","85,686","82,212","2,704","770","95,597","94,599","837","161","129,730","129,600","130","0","12,457"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","160,215","101,016","2,791","11","12","2,768","4,363","138","242","3,983","6,707","387","1,181","5,139","16,445","2,350","5,440","8,655","70,334","40,419","22,112","7,803","376","59,199","6,490","1,502","933","4,055","8,096","3,284","2,627","2,185","6,301","5,227","697","377","10,667","10,371","296","0","27,122","26,716","240","166","523"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,593,014","1,021,023","64,274","191","991","63,092","94,434","2,515","10,663","81,256","119,623","12,425","43,213","63,985","205,215","60,954","89,686","54,575","527,948","385,600","116,627","25,721","9,529","571,991","98,883","25,013","19,967","53,903","106,451","74,288","21,604","10,559","89,438","81,454","6,068","1,916","98,801","96,647","1,720","434","165,847","165,196","573","78","12,571"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","737,632","401,122","27,783","11","843","26,929","45,065","2,684","13,058","29,323","56,132","14,404","26,449","15,279","89,153","48,056","32,143","8,954","181,401","156,871","21,091","3,439","1,588","336,510","69,522","23,617","17,303","28,602","69,198","57,424","9,188","2,586","52,410","50,408","1,860","142","59,625","59,144","428","53","79,800","79,410","325","65","5,955"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
