"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"    Estimate","6,943,428","4,933,660","208,662","682","663","207,317","302,433","3,552","12,443","286,438","382,512","14,884","54,104","313,524","731,029","73,891","195,966","461,172","3,281,529","1,549,028","1,095,836","636,665","27,495","2,009,768","265,790","39,953","40,371","185,466","304,284","145,091","80,105","79,088","253,108","185,636","47,736","19,736","341,068","301,304","31,333","8,431","815,561","797,038","15,489","3,034","29,957"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,365,832","978,072","40,496","51","423","40,022","67,431","1,071","4,811","61,549","88,979","5,534","23,278","60,167","175,395","33,529","78,133","63,733","601,682","401,255","161,648","38,779","4,089","387,760","52,074","8,309","10,384","33,381","60,336","37,019","15,810","7,507","52,941","47,176","4,452","1,313","68,185","65,949","1,617","619","149,606","148,957","615","34","4,618"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","879,073","597,176","16,725","0","15","16,710","28,068","195","419","27,454","39,834","932","3,673","35,229","85,634","6,302","28,831","50,501","424,894","238,096","133,581","53,217","2,021","281,897","26,139","428","1,970","23,741","39,417","5,224","11,897","22,296","33,988","12,458","14,927","6,603","47,237","35,829","8,890","2,518","133,138","128,272","4,456","410","1,978"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","245,005","157,296","6,577","0","15","6,562","12,612","344","1,001","11,267","15,491","1,295","4,522","9,674","30,268","6,515","13,419","10,334","90,575","63,389","22,458","4,728","1,773","87,709","11,400","1,618","2,401","7,381","14,093","9,039","3,276","1,778","14,374","13,040","1,047","287","15,264","14,612","652","0","30,839","30,777","47","15","1,739"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","110,376","83,523","3,650","0","0","3,650","3,193","0","172","3,021","3,602","270","605","2,727","7,551","1,140","2,303","4,108","64,851","37,289","19,538","8,024","676","26,853","2,994","205","507","2,282","2,550","1,555","518","477","2,364","1,165","707","492","3,720","2,854","464","402","14,557","13,921","636","0","668"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,857,125","2,773,911","193,154","1,068","1,735","190,351","291,986","5,859","36,072","250,055","347,349","35,954","108,178","203,217","548,608","144,111","218,123","186,374","1,369,643","909,894","346,622","113,127","23,171","2,083,214","358,726","64,867","70,198","223,661","387,979","216,373","99,430","72,176","319,025","253,866","46,824","18,335","373,432","343,115","21,625","8,692","599,643","584,283","11,686","3,674","44,409"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,268,606","1,475,331","88,412","299","1,129","86,984","121,934","3,426","18,629","99,879","159,381","20,400","57,044","81,937","292,212","91,604","129,096","71,512","803,406","601,294","163,614","38,498","9,986","793,275","138,753","29,087","34,637","75,029","147,330","100,909","34,616","11,805","112,248","104,284","5,658","2,306","142,300","137,878","3,501","921","238,079","236,856","950","273","14,565"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","260,626","171,834","6,348","0","0","6,348","8,888","83","176","8,629","10,926","499","1,392","9,035","24,905","3,413","6,269","15,223","119,734","53,436","40,386","25,912","1,033","88,792","11,348","2,481","1,810","7,057","11,818","6,770","2,591","2,457","8,992","6,542","2,014","436","14,087","12,819","1,096","172","41,274","40,778","470","26","1,273"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","418,217","269,728","16,820","32","201","16,587","26,570","961","5,321","20,288","33,916","4,935","16,237","12,744","63,093","24,180","27,890","11,023","126,177","98,179","21,696","6,302","3,152","148,489","23,556","6,564","5,354","11,638","26,992","20,368","5,137","1,487","24,967","23,805","983","179","29,007","28,507","385","115","42,510","42,489","21","0","1,457"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,146,858","2,013,765","98,493","99","695","97,699","146,208","4,307","18,292","123,609","195,463","20,327","55,321","119,815","341,577","93,642","126,523","121,412","1,221,487","787,547","329,046","104,894","10,537","1,133,093","153,242","17,568","25,925","109,749","189,135","78,119","58,089","52,927","153,759","108,269","34,285","11,205","205,314","181,689","18,569","5,056","416,244","408,423","7,042","779","15,399"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,731,421","1,134,794","61,041","350","1,751","58,940","105,870","5,240","27,875","72,755","141,797","30,413","61,527","49,857","250,356","134,634","89,808","25,914","571,367","484,096","74,869","12,402","4,363","596,627","92,510","22,527","23,685","46,298","113,599","83,645","23,232","6,722","97,986","93,082","4,045","859","121,245","119,458","1,678","109","164,195","164,079","108","8","7,092"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","881,435","534,153","22,003","10","344","21,649","44,470","1,771","10,319","32,380","60,902","10,625","26,694","23,583","111,113","50,519","41,931","18,663","294,400","235,109","50,014","9,277","1,265","347,282","46,188","6,344","11,372","28,472","62,751","37,162","18,975","6,614","53,807","48,814","4,401","592","71,413","69,456","1,695","262","109,804","109,128","532","144","3,319"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","729,392","436,010","19,004","68","395","18,541","35,118","1,399","7,058","26,661","48,367","8,314","20,199","19,854","91,247","34,297","38,517","18,433","239,735","184,231","47,912","7,592","2,539","293,382","40,457","7,510","9,616","23,331","52,105","30,353","14,224","7,528","45,246","38,854","5,903","489","57,065","55,295","1,518","252","94,732","94,466","152","114","3,777"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,148,175","674,045","48,761","402","1,752","46,607","67,538","4,032","15,507","47,999","84,833","16,041","38,599","30,193","140,747","65,207","57,883","17,657","328,363","273,639","46,763","7,961","3,803","474,130","104,005","33,169","24,557","46,279","93,339","71,249","16,576","5,514","71,527","68,088","2,784","655","80,230","79,458","699","73","115,511","115,206","305","0","9,518"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,105,710","579,291","42,027","161","1,290","40,576","57,478","2,927","10,874","43,677","63,450","9,723","23,091","30,636","111,857","41,917","43,729","26,211","301,112","237,632","50,963","12,517","3,367","526,419","110,521","38,659","27,345","44,517","102,992","85,550","12,678","4,764","77,521","74,502","2,397","622","86,808","84,944","1,456","408","138,110","137,676","434","0","10,467"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","382,116","236,910","15,102","112","186","14,804","21,717","1,213","3,617","16,887","26,587","3,038","8,186","15,363","50,383","15,846","21,286","13,251","122,571","84,419","31,957","6,195","550","145,206","25,436","3,578","5,640","16,218","29,600","16,964","8,824","3,812","22,747","19,944","2,251","552","28,487","27,123","1,059","305","37,367","37,054","236","77","1,569"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,445,953","1,063,518","38,326","0","102","38,224","53,215","750","2,859","49,606","71,472","4,124","12,834","54,514","157,138","21,853","53,503","81,782","739,578","434,490","223,425","81,663","3,789","382,435","44,531","3,335","6,587","34,609","53,188","20,094","18,784","14,310","45,199","33,214","9,331","2,654","60,781","55,152","4,469","1,160","175,078","173,857","955","266","3,658"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,598,930","1,112,272","32,738","0","52","32,686","52,035","451","1,332","50,252","71,733","2,342","10,251","59,140","148,847","13,418","48,694","86,735","803,223","442,932","258,162","102,129","3,696","486,658","49,180","1,648","3,464","44,068","71,300","11,722","25,267","34,311","63,069","32,088","21,557","9,424","81,789","65,336","13,697","2,756","215,774","209,139","5,832","803","5,546"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,731,283","1,656,541","91,874","220","1,180","90,474","157,698","4,862","29,326","123,510","191,466","29,324","80,287","81,855","339,564","142,129","138,062","59,373","868,685","688,370","148,976","31,339","7,254","1,074,742","175,268","20,568","34,747","119,953","202,226","112,170","61,107","28,949","177,070","152,753","21,029","3,288","201,564","194,237","6,286","1,041","301,940","299,860","1,809","271","16,674"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,532,031","1,029,789","36,031","21","596","35,414","67,502","2,082","9,279","56,141","93,605","9,727","29,561","54,317","187,232","51,285","83,355","52,592","641,978","458,112","152,335","31,531","3,441","502,242","64,605","8,745","13,432","42,428","78,538","40,450","25,666","12,422","75,165","64,942","8,416","1,807","98,811","95,851","2,506","454","181,189","180,396","656","137","3,934"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","734,114","367,900","33,595","0","435","33,160","43,561","1,311","10,415","31,835","45,399","7,574","20,778","17,047","74,520","36,002","28,307","10,211","167,905","137,994","25,016","4,895","2,920","366,214","88,167","25,568","22,596","40,003","76,745","58,266","14,159","4,320","55,428","52,364","2,828","236","59,845","59,299","411","135","78,403","78,106","250","47","7,626"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,567,597","969,908","48,696","90","902","47,704","88,957","3,749","19,653","65,555","121,144","21,578","48,369","51,197","202,150","82,716","83,604","35,830","504,726","397,765","90,197","16,764","4,235","597,689","99,435","22,285","26,054","51,096","116,474","78,866","28,270","9,338","96,825","89,944","5,968","913","111,480","109,482","1,631","367","166,286","165,761","399","126","7,189"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","282,995","160,134","8,695","0","422","8,273","15,901","469","2,722","12,710","20,521","2,034","6,661","11,826","36,957","10,433","15,609","10,915","77,239","54,585","18,847","3,807","821","122,861","22,307","4,990","4,555","12,762","23,293","16,573","5,250","1,470","20,653","18,891","1,413","349","20,982","20,257","671","54","34,305","34,193","100","12","1,321"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","488,339","294,925","10,255","64","96","10,095","21,441","690","3,998","16,753","31,534","3,724","13,620","14,190","59,937","22,289","26,875","10,773","171,043","131,385","33,821","5,837","715","193,414","24,227","3,148","5,596","15,483","33,749","18,423","10,477","4,849","30,594","27,303","2,584","707","37,149","35,563","1,418","168","65,941","65,313","571","57","1,754"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","578,762","393,999","19,832","0","74","19,758","34,806","548","2,476","31,782","44,402","2,957","12,340","29,105","83,325","18,956","35,773","28,596","208,287","143,987","50,530","13,770","3,347","184,763","26,829","4,966","6,587","15,276","30,171","19,578","6,946","3,647","26,484","23,153","2,415","916","36,279","35,362","783","134","61,869","61,329","411","129","3,131"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","365,021","242,909","6,645","0","65","6,580","12,623","8","745","11,870","16,028","741","2,784","12,503","42,865","5,380","15,617","21,868","163,975","93,513","55,986","14,476","773","122,112","13,118","1,250","1,174","10,694","18,941","3,373","6,780","8,788","19,012","9,873","6,797","2,342","23,567","19,226","3,879","462","46,626","46,211","364","51","848"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,019,927","1,364,197","47,360","0","107","47,253","67,986","205","1,431","66,350","85,620","1,536","7,102","76,982","174,356","8,770","42,901","122,685","983,112","455,492","344,933","182,687","5,763","655,730","72,236","3,306","3,015","65,915","89,853","10,156","16,146","63,551","78,603","17,443","33,931","27,229","106,268","61,721","35,044","9,503","301,896","282,923","16,992","1,981","6,874"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","511,099","280,119","27,226","59","213","26,954","27,555","949","4,607","21,999","37,095","4,730","14,062","18,303","57,212","20,077","24,290","12,845","128,818","100,536","24,176","4,106","2,213","230,980","47,348","16,026","11,667","19,655","44,690","32,297","8,579","3,814","36,362","33,311","2,539","512","38,576","38,028","354","194","59,866","59,622","215","29","4,138"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,841,170","2,348,392","88,051","160","711","87,180","148,347","4,158","12,565","131,624","177,562","16,923","42,008","118,631","360,195","81,602","105,676","172,917","1,562,330","851,949","427,007","283,374","11,907","1,492,778","181,977","22,565","22,229","137,183","220,429","74,452","55,126","90,851","193,621","112,542","43,124","37,955","257,483","196,730","40,568","20,185","620,879","587,374","26,777","6,728","18,389"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,493,388","1,581,460","97,423","459","1,856","95,108","158,505","3,902","25,227","129,376","188,936","25,176","74,738","89,022","320,574","124,954","136,222","59,398","805,910","621,427","150,204","34,279","10,112","911,928","176,313","38,201","50,640","87,472","172,612","124,056","36,412","12,144","147,956","136,729","9,369","1,858","164,664","161,112","2,890","662","235,062","234,080","779","203","15,321"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","199,208","106,622","3,062","19","0","3,043","6,113","169","1,051","4,893","9,906","1,820","3,517","4,569","19,841","7,679","7,649","4,513","67,353","52,153","13,097","2,103","347","92,586","11,470","2,692","2,846","5,932","14,120","9,727","3,287","1,106","11,083","10,344","606","133","18,547","18,335","199","13","36,460","36,437","23","0","906"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,022,809","1,909,786","103,425","212","2,292","100,921","160,418","6,528","29,042","124,848","223,484","32,993","93,630","96,861","402,658","162,237","174,754","65,667","1,012,371","802,383","179,346","30,642","7,430","1,113,023","173,628","28,415","39,592","105,621","208,791","127,067","57,889","23,835","177,072","155,064","17,674","4,334","211,620","203,900","6,646","1,074","329,796","328,584","835","377","12,116"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","953,552","532,865","34,090","139","792","33,159","50,544","2,075","11,513","36,956","63,225","11,466","26,616","25,143","110,838","47,573","46,331","16,934","270,970","213,919","48,969","8,082","3,198","420,687","75,952","21,946","18,861","35,145","79,148","59,044","14,777","5,327","64,666","60,872","3,239","555","78,965","77,840","1,047","78","115,845","115,296","330","219","6,111"
"Oregon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","969,579","642,854","28,702","111","224","28,367","50,278","858","4,766","44,654","63,625","3,840","15,578","44,207","127,047","23,097","53,868","50,082","371,230","231,666","113,384","26,180","1,972","326,725","47,354","7,722","8,477","31,155","62,814","32,046","18,571","12,197","49,330","39,511","8,191","1,628","59,184","56,838","1,938","408","104,177","103,724","358","95","3,866"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,382,514","2,039,013","93,465","291","1,034","92,140","161,414","5,705","22,195","133,514","199,930","27,226","66,656","106,048","396,523","122,009","161,721","112,793","1,177,301","823,231","280,448","73,622","10,380","1,343,501","205,658","23,553","46,047","136,058","250,019","121,317","80,171","48,531","205,287","162,761","34,056","8,470","245,825","231,275","12,648","1,902","417,355","413,266","3,348","741","19,357"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","236,882","159,306","6,387","0","0","6,387","10,441","0","392","10,049","14,245","483","2,018","11,744","26,982","3,100","10,740","13,142","100,958","58,536","33,368","9,054","293","77,576","9,570","174","755","8,641","11,924","2,179","4,593","5,152","10,633","5,388","4,008","1,237","12,987","10,932","1,343","712","32,114","31,554","468","92","348"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,288,871","749,422","48,571","58","1,019","47,494","77,142","2,575","12,630","61,937","97,338","14,844","40,132","42,362","156,792","60,630","66,334","29,828","364,823","283,921","62,815","18,087","4,756","539,449","104,854","28,254","24,402","52,198","107,937","81,385","19,588","6,964","81,895","76,716","3,833","1,346","93,901","91,742","1,312","847","139,634","138,749","705","180","11,228"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","224,459","126,256","4,598","83","91","4,424","9,851","332","1,696","7,823","13,891","2,557","4,919","6,415","26,886","10,363","11,162","5,361","70,574","53,681","14,135","2,758","456","98,203","11,729","1,667","2,227","7,835","16,520","9,850","4,893","1,777","15,370","13,946","940","484","21,475","20,834","492","149","31,695","31,634","0","61","1,414"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,664,018","989,445","62,678","499","2,225","59,954","107,348","4,641","19,696","83,011","124,103","20,385","54,555","49,163","213,599","87,873","89,808","35,918","475,735","367,366","89,758","18,611","5,982","674,573","120,902","32,266","33,070","55,566","138,509","103,575","26,492","8,442","106,618","99,762","5,141","1,715","115,642","113,332","1,624","686","182,291","181,579","508","204","10,611"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,825,471","3,366,378","154,760","316","1,155","153,289","270,131","5,717","31,049","233,365","321,197","28,323","97,301","195,573","602,631","156,488","268,857","177,286","1,998,964","1,388,473","481,627","128,864","18,695","2,459,093","376,801","77,053","86,900","212,848","411,562","248,268","103,148","60,146","348,372","292,185","43,684","12,503","440,961","410,099","23,581","7,281","847,531","834,471","10,145","2,915","33,866"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","659,266","467,694","14,304","12","102","14,190","28,919","1,066","3,615","24,238","46,339","2,900","15,308","28,131","103,481","23,024","50,825","29,632","272,997","190,031","71,462","11,504","1,654","191,572","22,276","4,494","5,309","12,473","27,319","20,373","5,249","1,697","26,572","24,683","1,651","238","38,271","37,582","438","251","74,759","74,220","498","41","2,375"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","177,772","114,372","5,516","0","14","5,502","10,556","219","492","9,845","11,694","323","2,954","8,417","23,249","4,644","10,030","8,575","63,192","38,468","19,872","4,852","165","63,400","10,300","581","859","8,860","11,027","2,747","4,290","3,990","9,612","6,425","2,306","881","12,076","11,021","885","170","19,783","19,373","368","42","602"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,037,641","1,409,498","57,291","294","1,087","55,910","92,622","2,811","12,107","77,704","120,776","12,432","33,575","74,769","226,247","53,922","86,759","85,566","906,915","570,592","255,704","80,619","5,647","628,143","93,084","20,907","21,298","50,879","96,406","62,178","22,052","12,176","88,581","76,785","9,525","2,271","109,803","104,501","4,740","562","232,711","230,778","1,592","341","7,558"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
