"GEO_ID","NAME","B25101_001E","B25101_001EA","B25101_001M","B25101_001MA","B25101_002E","B25101_002EA","B25101_002M","B25101_002MA","B25101_003E","B25101_003M","B25101_003MA","B25101_003EA","B25101_004E","B25101_004M","B25101_004MA","B25101_004EA","B25101_005E","B25101_005M","B25101_005MA","B25101_005EA","B25101_006E","B25101_006EA","B25101_006M","B25101_006MA","B25101_007E","B25101_007EA","B25101_007M","B25101_007MA","B25101_008E","B25101_008EA","B25101_008M","B25101_008MA","B25101_009E","B25101_009M","B25101_009MA","B25101_009EA","B25101_010E","B25101_010M","B25101_010MA","B25101_010EA","B25101_011E","B25101_011M","B25101_011MA","B25101_011EA","B25101_012E","B25101_012EA","B25101_012M","B25101_012MA","B25101_013E","B25101_013EA","B25101_013M","B25101_013MA","B25101_014E","B25101_014M","B25101_014MA","B25101_014EA","B25101_015E","B25101_015M","B25101_015MA","B25101_015EA","B25101_016E","B25101_016M","B25101_016MA","B25101_016EA","B25101_017E","B25101_017EA","B25101_017M","B25101_017MA","B25101_018E","B25101_018EA","B25101_018M","B25101_018MA","B25101_019E","B25101_019EA","B25101_019M","B25101_019MA","B25101_020E","B25101_020M","B25101_020MA","B25101_020EA","B25101_021E","B25101_021M","B25101_021MA","B25101_021EA","B25101_022E","B25101_022M","B25101_022MA","B25101_022EA","B25101_023E","B25101_023M","B25101_023MA","B25101_023EA","B25101_024E","B25101_024M","B25101_024MA","B25101_024EA","B25101_025E","B25101_025EA","B25101_025M","B25101_025MA","B25101_026E","B25101_026M","B25101_026MA","B25101_026EA","B25101_027E","B25101_027M","B25101_027MA","B25101_027EA","B25101_028E","B25101_028M","B25101_028MA","B25101_028EA","B25101_029E","B25101_029EA","B25101_029M","B25101_029MA","B25101_030E","B25101_030M","B25101_030MA","B25101_030EA","B25101_031E","B25101_031M","B25101_031MA","B25101_031EA","B25101_032E","B25101_032M","B25101_032MA","B25101_032EA","B25101_033E","B25101_033M","B25101_033MA","B25101_033EA","B25101_034E","B25101_034EA","B25101_034M","B25101_034MA","B25101_035E","B25101_035M","B25101_035MA","B25101_035EA","B25101_036E","B25101_036M","B25101_036MA","B25101_036EA","B25101_037E","B25101_037M","B25101_037MA","B25101_037EA","B25101_038E","B25101_038M","B25101_038MA","B25101_038EA","B25101_039E","B25101_039M","B25101_039MA","B25101_039EA","B25101_040E","B25101_040EA","B25101_040M","B25101_040MA","B25101_041E","B25101_041EA","B25101_041M","B25101_041MA","B25101_042E","B25101_042M","B25101_042MA","B25101_042EA","B25101_043E","B25101_043M","B25101_043MA","B25101_043EA","B25101_044E","B25101_044M","B25101_044MA","B25101_044EA","B25101_045E","B25101_045EA","B25101_045M","B25101_045MA",
"0500000US15007","Kauai County, Hawaii","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US15009","Maui County, Hawaii","31726","null","1776","null","20238","null","1599","null","921","407","null","null","0","185","null","null","0","185","null","null","921","null","407","null","928","null","387","null","11","null","19","null","8","15","null","null","909","389","null","null","1398","501","null","null","65","null","103","null","280","null","256","null","1053","439","null","null","2765","685","null","null","623","417","null","null","473","null","237","null","1669","null","580","null","14086","null","1414","null","7355","1060","null","null","4119","862","null","null","2612","699","null","null","140","118","null","null","11488","1386","null","null","1692","null","537","null","634","391","null","null","277","227","null","null","781","340","null","null","1407","null","515","null","857","464","null","null","196","155","null","null","354","297","null","null","978","392","null","null","570","null","299","null","346","273","null","null","62","90","null","null","1675","610","null","null","1560","605","null","null","97","115","null","null","18","null","30","null","5424","null","1105","null","5375","1115","null","null","49","67","null","null","0","185","null","null","312","null","260","null",
"0500000US16001","Ada County, Idaho","114084","null","3867","null","84049","null","3631","null","4078","1160","null","null","32","51","null","null","0","198","null","null","4046","null","1156","null","7165","null","1489","null","132","null","157","null","1135","618","null","null","5898","1333","null","null","7501","1402","null","null","712","null","453","null","3899","null","1239","null","2890","950","null","null","18006","2704","null","null","6202","1677","null","null","7400","null","1912","null","4404","null","1301","null","45116","null","3371","null","33113","2854","null","null","9578","2130","null","null","2425","867","null","null","2183","1234","null","null","30035","2061","null","null","3553","null","942","null","492","271","null","null","640","297","null","null","2421","864","null","null","4250","null","1019","null","2942","955","null","null","946","507","null","null","362","243","null","null","4385","1167","null","null","4116","null","1164","null","192","161","null","null","77","129","null","null","5040","1176","null","null","4932","1171","null","null","108","132","null","null","0","null","198","null","12367","null","1544","null","12367","1544","null","null","0","198","null","null","0","198","null","null","440","null","288","null",
"0500000US16005","Bannock County, Idaho","21402","null","1320","null","13677","null","1184","null","1338","611","null","null","0","198","null","null","0","198","null","null","1338","null","611","null","932","null","389","null","0","null","198","null","227","258","null","null","705","288","null","null","1983","549","null","null","253","null","182","null","1047","null","373","null","683","345","null","null","2849","643","null","null","1070","394","null","null","1528","null","507","null","251","null","195","null","6479","null","765","null","5766","689","null","null","678","311","null","null","35","59","null","null","96","117","null","null","7725","1008","null","null","1397","null","455","null","487","338","null","null","257","223","null","null","653","322","null","null","1487","null","576","null","1185","433","null","null","302","376","null","null","0","198","null","null","1293","628","null","null","994","null","432","null","299","424","null","null","0","198","null","null","1525","517","null","null","1459","499","null","null","66","90","null","null","0","null","198","null","2023","null","623","null","2023","623","null","null","0","198","null","null","0","198","null","null","0","null","198","null",
"0500000US16019","Bonneville County, Idaho","26800","null","1220","null","17409","null","1227","null","981","462","null","null","0","198","null","null","0","198","null","null","981","null","462","null","1392","null","437","null","119","null","178","null","116","118","null","null","1157","441","null","null","1660","538","null","null","293","null","269","null","917","null","429","null","450","220","null","null","4525","1082","null","null","1986","604","null","null","2083","null","778","null","456","null","222","null","8851","null","1178","null","7748","1175","null","null","809","405","null","null","294","350","null","null","0","198","null","null","9391","980","null","null","1129","null","448","null","370","241","null","null","167","158","null","null","592","334","null","null","1394","null","463","null","1135","405","null","null","236","171","null","null","23","40","null","null","1759","598","null","null","1671","null","586","null","88","111","null","null","0","198","null","null","1802","466","null","null","1802","466","null","null","0","198","null","null","0","null","198","null","3296","null","864","null","3296","864","null","null","0","198","null","null","0","198","null","null","11","null","20","null",
"0500000US16027","Canyon County, Idaho","46524","null","2250","null","32727","null","2138","null","1926","712","null","null","0","198","null","null","0","198","null","null","1926","null","712","null","4205","null","1119","null","120","null","143","null","986","416","null","null","3099","1000","null","null","5448","1157","null","null","763","null","436","null","2774","null","923","null","1911","706","null","null","8880","1555","null","null","3848","965","null","null","3966","null","1150","null","1066","null","479","null","11819","null","1813","null","9440","1531","null","null","1759","858","null","null","620","498","null","null","449","443","null","null","13797","1744","null","null","2432","null","865","null","1068","573","null","null","337","236","null","null","1027","606","null","null","2634","null","629","null","2164","598","null","null","295","219","null","null","175","160","null","null","2346","698","null","null","2156","null","650","null","190","192","null","null","0","198","null","null","2436","711","null","null","2419","712","null","null","17","28","null","null","0","null","198","null","3642","null","1110","null","3642","1110","null","null","0","198","null","null","0","198","null","null","307","null","275","null",
"0500000US16055","Kootenai County, Idaho","38344","null","2345","null","25134","null","2007","null","1685","932","null","null","0","198","null","null","0","198","null","null","1685","null","932","null","2078","null","656","null","135","null","224","null","485","329","null","null","1458","563","null","null","3127","1038","null","null","313","null","231","null","1205","null","644","null","1609","776","null","null","6517","1302","null","null","1878","635","null","null","3917","null","1163","null","722","null","316","null","11594","null","1667","null","8092","1440","null","null","2736","845","null","null","766","488","null","null","133","169","null","null","13210","1784","null","null","2075","null","788","null","483","380","null","null","339","250","null","null","1253","677","null","null","2256","null","679","null","1802","679","null","null","238","150","null","null","216","285","null","null","1943","531","null","null","1943","null","531","null","0","198","null","null","0","198","null","null","2415","717","null","null","2383","736","null","null","32","51","null","null","0","null","198","null","4491","null","1231","null","4491","1231","null","null","0","198","null","null","0","198","null","null","30","null","52","null",
"0500000US16083","Twin Falls County, Idaho","20631","null","1339","null","12820","null","1459","null","507","324","null","null","0","198","null","null","0","198","null","null","507","null","324","null","2030","null","733","null","136","null","177","null","57","84","null","null","1837","706","null","null","1815","649","null","null","420","null","254","null","751","null","383","null","644","438","null","null","3026","826","null","null","1109","524","null","null","1572","null","770","null","345","null","241","null","5433","null","1140","null","4317","1033","null","null","912","504","null","null","204","233","null","null","9","14","null","null","7811","1123","null","null","987","null","466","null","176","188","null","null","165","161","null","null","646","406","null","null","1295","null","514","null","964","469","null","null","331","306","null","null","0","198","null","null","1107","482","null","null","1107","null","482","null","0","198","null","null","0","198","null","null","2080","679","null","null","2080","679","null","null","0","198","null","null","0","null","198","null","2342","null","758","null","2342","758","null","null","0","198","null","null","0","198","null","null","0","null","198","null",
"0500000US17001","Adams County, Illinois","19655","null","1413","null","11196","null","1182","null","633","337","null","null","0","185","null","null","37","60","null","null","596","null","329","null","979","null","400","null","100","null","92","null","345","210","null","null","534","339","null","null","1232","502","null","null","248","null","178","null","696","null","408","null","288","237","null","null","2938","795","null","null","1760","678","null","null","852","null","314","null","326","null","287","null","5414","null","1039","null","4213","833","null","null","991","530","null","null","210","223","null","null","0","185","null","null","8459","971","null","null","955","null","336","null","79","71","null","null","259","143","null","null","617","277","null","null","1144","null","442","null","915","384","null","null","115","121","null","null","114","139","null","null","1896","602","null","null","1691","null","569","null","0","185","null","null","205","332","null","null","1681","520","null","null","1681","520","null","null","0","185","null","null","0","null","185","null","2621","null","540","null","2621","540","null","null","0","185","null","null","0","185","null","null","162","null","190","null",
"0500000US17019","Champaign County, Illinois","43883","null","2058","null","29158","null","2115","null","1384","538","null","null","63","104","null","null","0","185","null","null","1321","null","533","null","1940","null","722","null","78","null","120","null","399","314","null","null","1463","572","null","null","3247","718","null","null","305","null","225","null","1012","null","417","null","1930","602","null","null","5582","1193","null","null","2296","693","null","null","2376","null","753","null","910","null","398","null","16955","null","1669","null","13311","1412","null","null","3090","947","null","null","554","307","null","null","50","60","null","null","14725","1429","null","null","1465","null","660","null","19","24","null","null","213","204","null","null","1233","630","null","null","2119","null","550","null","1058","369","null","null","764","396","null","null","297","177","null","null","1437","450","null","null","1197","null","412","null","159","110","null","null","81","131","null","null","2838","622","null","null","2757","613","null","null","81","96","null","null","0","null","185","null","6258","null","1067","null","6157","1055","null","null","101","117","null","null","0","185","null","null","608","null","466","null",
